topic,terms
0,"0.008*""todo"" + 0.008*""povo"" + 0.007*""deus"" + 0.006*""brasileiro"" + 0.006*""ano"" + 0.005*""sr_presidente"" + 0.005*""eleger"" + 0.004*""nome"" + 0.004*""dever"" + 0.004*""casa"""
1,"0.017*""todo"" + 0.007*""sr_presidente"" + 0.007*""casa"" + 0.006*""brasil"" + 0.006*""ano"" + 0.006*""momento"" + 0.005*""país"" + 0.005*""parlamentar"" + 0.005*""crime"" + 0.005*""brasileiro"""
2,"0.016*""energia"" + 0.008*""brasil"" + 0.008*""todo"" + 0.007*""hoje"" + 0.006*""brasileiro"" + 0.006*""oportunidade"" + 0.006*""nordeste"" + 0.006*""geração"" + 0.006*""país"" + 0.005*""sr_presidente"""
3,"0.009*""rádio"" + 0.005*""turno"" + 0.005*""segundo"" + 0.005*""comunicação"" + 0.005*""profissional"" + 0.004*""saudar"" + 0.004*""saudação"" + 0.004*""homem"" + 0.004*""querar"" + 0.004*""radialista"""
4,"0.012*""salário"" + 0.010*""aumento"" + 0.009*""real"" + 0.007*""agora"" + 0.007*""orçamento"" + 0.007*""todo"" + 0.007*""dar"" + 0.007*""país"" + 0.007*""governo"" + 0.006*""pobre"""
5,"0.010*""todo"" + 0.007*""projeto"" + 0.007*""pagador"" + 0.007*""sr_presidente"" + 0.006*""bom"" + 0.006*""cidade"" + 0.006*""brasileiro"" + 0.006*""ano"" + 0.006*""imposto"" + 0.006*""brasil"""
6,"0.010*""sr_presidente"" + 0.009*""energia"" + 0.007*""país"" + 0.007*""grande"" + 0.006*""decisão"" + 0.006*""todo"" + 0.005*""dever"" + 0.004*""brasília"" + 0.004*""parlamento"" + 0.004*""principalmente"""
