topic,terms
0,"0.011*""sobre"" + 0.009*""brasileiro"" + 0.007*""ano"" + 0.006*""político"" + 0.006*""brasil"" + 0.005*""hoje"" + 0.005*""bolsonaro"" + 0.005*""eleição"" + 0.005*""violência"" + 0.005*""povo"""
1,"0.009*""cultura"" + 0.008*""país"" + 0.008*""psol"" + 0.008*""governo"" + 0.007*""bolsonaro"" + 0.006*""povo"" + 0.005*""medida"" + 0.005*""brasil"" + 0.005*""trabalhador"" + 0.005*""todo"""
2,"0.019*""psol"" + 0.009*""bolsonaro"" + 0.008*""revisão"" + 0.008*""orador"" + 0.007*""ordem"" + 0.007*""orçamento"" + 0.006*""orientar"" + 0.006*""governo"" + 0.006*""votação"" + 0.005*""destaque"""
3,"0.008*""votar"" + 0.008*""pec"" + 0.007*""farmacêutico"" + 0.007*""ordem"" + 0.006*""qualquer"" + 0.006*""farmácia"" + 0.005*""sp"" + 0.005*""projeto"" + 0.005*""psol"" + 0.005*""15"""
4,"0.015*""povo"" + 0.013*""direito"" + 0.008*""político"" + 0.008*""social"" + 0.007*""governo"" + 0.006*""psol"" + 0.005*""indígena"" + 0.005*""servidor"" + 0.005*""vida"" + 0.005*""hoje"""
5,"0.027*""mulher"" + 0.010*""psol"" + 0.008*""projeto"" + 0.008*""vida"" + 0.007*""enfermagem"" + 0.007*""violência"" + 0.006*""inclusive"" + 0.006*""contra"" + 0.006*""destaque"" + 0.006*""importante"""
6,"0.019*""psol"" + 0.013*""orientar"" + 0.010*""direito"" + 0.009*""trabalhador"" + 0.008*""benefício"" + 0.007*""orador"" + 0.007*""revisão"" + 0.007*""pessoa"" + 0.007*""destaque"" + 0.007*""ordem"""
