parlamentar,partido,uf_partido,sessao,fase,data,hora,publicacao,link_discurso,sumario
Bia Kicis,PL,DF,183.2022,BREVES COMUNICAÇÕES,22/12/2022,21h56,DCD23/12/2022 PAG. 30,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=5&nuSessao=183.2022&nuQuarto=2761710&nuOrador=1&nuInsercao=1&dtHorarioQuarto=21%3A56&sgFaseSessao=BC&Data=22%2F12%2F2022&txApelido=Bia+Kicis&txFaseSessao=Breves+Comunica%C3%A7%C3%B5es&txTipoSessao=Ordin%C3%A1ria+-+CD&dtHoraQuarto=21%3A56,"Natureza abusiva, inconstitucional e ilegal das prisões de empresário e Deputado por prática de crime inexistente no ordenamento jurídico. Repúdio à censura e prisões ilegais impostas por decisões judiciais. Contentamento com a aprovação, pela respectiva Comissão Especial, da Proposta de Emenda à Constituição nº 7, de 2020, sobre a alteração do Sistema Tributário Nacional."
Marcel Van Hattem,NOVO,RS,183.2022,BREVES COMUNICAÇÕES,22/12/2022,21h48,DCD23/12/2022 PAG. 29,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=5&nuSessao=183.2022&nuQuarto=2761704&nuOrador=1&nuInsercao=1&dtHorarioQuarto=21%3A48&sgFaseSessao=BC&Data=22%2F12%2F2022&txApelido=Marcel+Van+Hattem&txFaseSessao=Breves+Comunica%C3%A7%C3%B5es&txTipoSessao=Ordin%C3%A1ria+-+CD&dtHoraQuarto=21%3A48,"Agradecimento às equipes do gabinete parlamentar do orador e da Liderança do partido Novo. Votos de feliz Natal aos servidores do Congresso Nacional, em nome do Secretário-Geral da Mesa, Ruthier de Sousa Silva."
Renildo Calheiros,PCdoB,PE,183.2022,BREVES COMUNICAÇÕES,22/12/2022,21h44,DCD23/12/2022 PAG. 28,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=5&nuSessao=183.2022&nuQuarto=2761698&nuOrador=1&nuInsercao=1&dtHorarioQuarto=21%3A44&sgFaseSessao=BC&Data=22%2F12%2F2022&txApelido=Renildo+Calheiros&txFaseSessao=Breves+Comunica%C3%A7%C3%B5es&txTipoSessao=Ordin%C3%A1ria+-+CD&dtHoraQuarto=21%3A44,"Dificuldades enfrentadas pelo povo brasileiro em 2022. Renovação do Congresso Nacional, dos Governos Estaduais, das Assembleias Legislativas e da Presidência da República. Vitória do Sr. Luiz Inácio Lula da Silva na corrida à sucessão presidencial. Desafio do Presidente da República eleito de reconciliação e reconstrução do País. Votos de feliz Natal e próspero Ano-Novo à população brasileira."
Bia Kicis,PL,DF,183.2022,BREVES COMUNICAÇÕES,22/12/2022,21h36,DCD23/12/2022 PAG. 27,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=5&nuSessao=183.2022&nuQuarto=2761691&nuOrador=1&nuInsercao=1&dtHorarioQuarto=21%3A36&sgFaseSessao=BC&Data=22%2F12%2F2022&txApelido=Bia+Kicis&txFaseSessao=Breves+Comunica%C3%A7%C3%B5es&txTipoSessao=Ordin%C3%A1ria+-+CD&dtHoraQuarto=21%3A36,Cumprimento da missão parlamentar da oradora na Câmara dos Deputados. Descrédito do Congresso Nacional perante a sociedade brasileira. Formação acadêmica da Parlamentar na área de Direito. Violação da Constituição Federal. Competência do Senado Federal para coibição de ataques à Carta Magna. Não inclusão na pauta de projetos de decreto legislativo da oradora. Agradecimento aos eleitores do Distrito Federal por sua reeleição.
Marcel Van Hattem,NOVO,RS,183.2022,BREVES COMUNICAÇÕES,22/12/2022,21h32,DCD23/12/2022 PAG. 25,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=5&nuSessao=183.2022&nuQuarto=2761685&nuOrador=1&nuInsercao=1&dtHorarioQuarto=21%3A32&sgFaseSessao=BC&Data=22%2F12%2F2022&txApelido=Marcel+Van+Hattem&txFaseSessao=Breves+Comunica%C3%A7%C3%B5es&txTipoSessao=Ordin%C3%A1ria+-+CD&dtHoraQuarto=21%3A32,Redução da bancada federal do Novo na Casa. Elogio aos membros do partido. Integridade e coerência da agremiação partidária. Agradecimento aos Deputados Tiago Mitraud e Paulo Ganime. Escolha da Deputada Adriana Ventura para Representante do Novo na Câmara dos Deputados.
Tiago Mitraud,NOVO,MG,183.2022,BREVES COMUNICAÇÕES,22/12/2022,21h28,DCD23/12/2022 PAG. 24,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=5&nuSessao=183.2022&nuQuarto=2761682&nuOrador=1&nuInsercao=1&dtHorarioQuarto=21%3A28&sgFaseSessao=BC&Data=22%2F12%2F2022&txApelido=Tiago+Mitraud&txFaseSessao=Breves+Comunica%C3%A7%C3%B5es&txTipoSessao=Ordin%C3%A1ria+-+CD&dtHoraQuarto=21%3A28,"Redução da bancada federal do Novo na Câmara dos Deputados. Oposição do partido ao futuro governo do País. Votos de sucesso à Deputada Adriana Ventura, nova Representante da agremiação partidária na Casa."
Paulo Ganime,NOVO,RJ,183.2022,BREVES COMUNICAÇÕES,22/12/2022,21h16,DCD23/12/2022 PAG. 20,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=5&nuSessao=183.2022&nuQuarto=2761675&nuOrador=1&nuInsercao=1&dtHorarioQuarto=21%3A16&sgFaseSessao=BC&Data=22%2F12%2F2022&txApelido=Paulo+Ganime&txFaseSessao=Breves+Comunica%C3%A7%C3%B5es&txTipoSessao=Ordin%C3%A1ria+-+CD&dtHoraQuarto=21%3A16,"Agradecimento à bancada federal do Novo, aos diretórios municipais e dirigentes nacionais do partido. Defesa de realização das reformas tributária e administrativa; de abertura do mercado do setor elétrico; de reexame da sistemática de indicação dos Ministros do Supremo Tribunal Federal; da prisão de condenados em segunda instância e do fim do foro privilegiado. Importância de matérias aprovadas pela Câmara dos Deputados. Contribuição do orador para a economia de gastos públicos. Agradecimento aos elaboradores do projeto de transformação do Rio de Janeiro no Vale do Silício, da Inovação e da Energia; às Lideranças do partido Novo e Parlamentares. Relevância do Programa Juntos. Agradecimento à equipe do seu gabinete parlamentar e servidores terceirizados da Casa. Visita do Parlamentar aos Municípios do Estado do Rio de Janeiro. Despedida do orador da Câmara dos Deputados."
Mauro Benevides Filho,PDT,CE,32.2022.N,HOMENAGEM,22/12/2022,11h12,DCN 29/12/2022 PAG. 19,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=5&nuSessao=32.2022.N&nuQuarto=2759638&nuOrador=1&nuInsercao=1&dtHorarioQuarto=11%3A12&sgFaseSessao=HO&Data=22%2F12%2F2022&txApelido=Mauro+Benevides+Filho&txFaseSessao=Homenagem&txTipoSessao=Ordin%C3%A1ria+-+CD&dtHoraQuarto=11%3A12,"Promulgação da Emenda Constitucional nº 127, de 2022, referente à Proposta de Emenda à Constituição nº 42, de 2022, (nº 390, de 2014, na Câmara dos Deputados), sobre a assistência financeira complementar da União aos Estados, ao Distrito Federal, aos Municípios e entidades filantrópicas para cumprimento do piso salarial nacional dos profissionais da enfermagem e da parteira; e a alteração do art. 5º da Emenda Constitucional nº 109, de 2021, com vista ao estabelecimento de superávit financeiro dos fundos públicos do Poder Executivo como fonte de recursos do piso salarial da categoria."
Carmen Zanotto,CIDADANIA,SC,32.2022.N,HOMENAGEM,22/12/2022,11h04,DCN 29/12/2022 PAG. 17,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=5&nuSessao=32.2022.N&nuQuarto=2759633&nuOrador=1&nuInsercao=1&dtHorarioQuarto=11%3A04&sgFaseSessao=HO&Data=22%2F12%2F2022&txApelido=Carmen+Zanotto&txFaseSessao=Homenagem&txTipoSessao=Ordin%C3%A1ria+-+CD&dtHoraQuarto=11%3A04,"Promulgação da Emenda Constitucional nº 127, de 2022, referente à Proposta de Emenda à Constituição nº 42, de 2022, (nº 390, de 2014, na Câmara dos Deputados), sobre a assistência financeira complementar da União aos Estados, ao Distrito Federal, aos Municípios e entidades filantrópicas para cumprimento do piso salarial nacional dos profissionais da enfermagem e da parteira; e a alteração do art. 5º da Emenda Constitucional nº 109, de 2021, com vista ao estabelecimento de superávit financeiro dos fundos públicos do Poder Executivo como fonte de recursos do piso salarial da categoria."
Alice Portugal,PCdoB,BA,32.2022.N,HOMENAGEM,22/12/2022,10h56,DCN 29/12/2022 PAG. 15,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=5&nuSessao=32.2022.N&nuQuarto=2759626&nuOrador=1&nuInsercao=1&dtHorarioQuarto=10%3A56&sgFaseSessao=HO&Data=22%2F12%2F2022&txApelido=Alice+Portugal&txFaseSessao=Homenagem&txTipoSessao=Ordin%C3%A1ria+-+CD&dtHoraQuarto=10%3A56,"Promulgação da Emenda Constitucional nº 127, de 2022, referente à Proposta de Emenda à Constituição nº 42, de 2022, (nº 390, de 2014, na Câmara dos Deputados), sobre a assistência financeira complementar da União aos Estados, ao Distrito Federal, aos Municípios e entidades filantrópicas para cumprimento do piso salarial nacional dos profissionais da enfermagem e da parteira; e a alteração do art. 5º da Emenda Constitucional nº 109, de 2021, com vista ao estabelecimento de superávit financeiro dos fundos públicos do Poder Executivo como fonte de recursos do piso salarial da categoria."
