agenda_topic,agenda_terms,discourse_topic,discourse_terms,cosine_similarity
0,"0.016*""brasil"" + 0.012*""brasileiro"" + 0.010*""político"" + 0.007*""compromisso"" + 0.005*""grande"" + 0.005*""país"" + 0.005*""união"" + 0.004*""todo"" + 0.004*""direito"" + 0.004*""nacional""",8,"0.009*""sr_presidente"" + 0.008*""povo"" + 0.008*""momento"" + 0.007*""mandato"" + 0.007*""reforma"" + 0.007*""grande"" + 0.007*""brasileiro"" + 0.006*""cada"" + 0.006*""real"" + 0.006*""todo""",0.7742039334623485
1,"0.012*""político"" + 0.010*""público"" + 0.007*""democracia"" + 0.007*""todo"" + 0.007*""brasileiro"" + 0.006*""social"" + 0.006*""dever"" + 0.006*""grande"" + 0.005*""cidadão"" + 0.005*""força""",7,"0.010*""todo"" + 0.009*""energia"" + 0.009*""público"" + 0.008*""direito"" + 0.007*""governo"" + 0.007*""país"" + 0.007*""sr_presidente"" + 0.006*""brasileiro"" + 0.006*""próprio"" + 0.006*""impor""",0.7734654322415442
