topic,terms
0,"0.017*""trabalhador"" + 0.017*""mdb"" + 0.015*""massa"" + 0.012*""democrático"" + 0.012*""lei"" + 0.012*""social"" + 0.012*""interesse"" + 0.012*""político"" + 0.012*""partido"" + 0.010*""popular"""
1,"0.026*""trabalhador"" + 0.015*""político"" + 0.012*""pt"" + 0.010*""regime"" + 0.010*""greve"" + 0.009*""luta"" + 0.007*""massa"" + 0.007*""hoje"" + 0.006*""novo"" + 0.006*""econômico"""
2,"0.017*""trabalhador"" + 0.017*""classe"" + 0.013*""participação"" + 0.013*""partido"" + 0.013*""organizar"" + 0.013*""todo"" + 0.009*""político"" + 0.009*""país"" + 0.009*""decisivo"" + 0.009*""poder"""
3,"0.039*""trabalhador"" + 0.015*""político"" + 0.015*""partido"" + 0.012*""pt"" + 0.012*""empresa"" + 0.009*""popular"" + 0.009*""ter"" + 0.009*""estatal"" + 0.009*""próprio"" + 0.009*""população"""
4,"0.020*""político"" + 0.013*""verdadeiro"" + 0.013*""frente"" + 0.009*""respeitar"" + 0.009*""direito"" + 0.009*""setor"" + 0.009*""pt"" + 0.009*""nacional"" + 0.009*""interesse"" + 0.009*""trabalhador"""
5,"0.020*""político"" + 0.017*""partido"" + 0.017*""pt"" + 0.013*""trabalhador"" + 0.013*""todo"" + 0.013*""setor"" + 0.010*""próprio"" + 0.010*""massa"" + 0.010*""objetivo"" + 0.010*""interior"""
