topic,terms
0,"0.011*""pec"" + 0.009*""lula"" + 0.007*""brasileiro"" + 0.006*""ano"" + 0.006*""sim"" + 0.006*""povo"" + 0.005*""real"" + 0.005*""contra"" + 0.005*""todo"" + 0.005*""portanto"""
1,"0.009*""povo"" + 0.008*""brasileiro"" + 0.007*""stf"" + 0.007*""grande"" + 0.007*""lula"" + 0.006*""igreja"" + 0.006*""rua"" + 0.006*""vir"" + 0.005*""todo"" + 0.005*""público"""
2,"0.012*""todo"" + 0.012*""cidade"" + 0.010*""deus"" + 0.008*""dinheiro"" + 0.007*""lula"" + 0.007*""hoje"" + 0.006*""público"" + 0.006*""ano"" + 0.005*""grande"" + 0.005*""povo"""
3,"0.008*""todo"" + 0.007*""grande"" + 0.006*""ano"" + 0.006*""cidade"" + 0.006*""votar"" + 0.006*""sr_presidente"" + 0.005*""recurso"" + 0.005*""ainda"" + 0.005*""outro"" + 0.005*""emenda"""
4,"0.009*""real"" + 0.008*""povo"" + 0.008*""votar"" + 0.007*""todo"" + 0.007*""brasileiro"" + 0.007*""mdb"" + 0.007*""ano"" + 0.006*""urna"" + 0.006*""orientar"" + 0.006*""sim"""
5,"0.011*""público"" + 0.008*""servidor"" + 0.007*""veto"" + 0.006*""saber"" + 0.006*""emenda"" + 0.005*""agora"" + 0.005*""ano"" + 0.005*""trabalho"" + 0.005*""momento"" + 0.005*""cidade"""
