topic,terms
0,"0.010*""brasil"" + 0.009*""povo"" + 0.009*""todo"" + 0.009*""brasileiro"" + 0.008*""sr_presidente"" + 0.008*""país"" + 0.008*""grande"" + 0.007*""governo"" + 0.006*""político"" + 0.006*""dia"""
1,"0.009*""todo"" + 0.007*""energia"" + 0.006*""projeto"" + 0.006*""casa"" + 0.005*""brasil"" + 0.005*""público"" + 0.004*""grande"" + 0.004*""relator"" + 0.004*""direito"" + 0.004*""sr_presidente"""
2,"0.012*""todo"" + 0.007*""enfermagem"" + 0.006*""povo"" + 0.005*""sr_presidente"" + 0.004*""profissional"" + 0.004*""pessoa"" + 0.004*""grande"" + 0.004*""piso"" + 0.004*""sim"" + 0.004*""companheiro"""
3,"0.017*""pec"" + 0.016*""real"" + 0.010*""ano"" + 0.010*""governo"" + 0.010*""recurso"" + 0.009*""país"" + 0.009*""povo"" + 0.009*""brasileiro"" + 0.008*""bolsa_família"" + 0.008*""todo"""
4,"0.005*""dia"" + 0.004*""dever"" + 0.004*""sr_presidente"" + 0.004*""outro"" + 0.004*""então"" + 0.004*""pessoa"" + 0.004*""todo"" + 0.004*""projeto"" + 0.003*""propriedade"" + 0.003*""portanto"""
5,"0.007*""todo"" + 0.005*""brasil"" + 0.005*""criança"" + 0.005*""sr_presidente"" + 0.004*""inclusive"" + 0.004*""ano"" + 0.004*""cidade"" + 0.004*""então"" + 0.004*""agora"" + 0.003*""dever"""
6,"0.016*""povo"" + 0.016*""brasileiro"" + 0.016*""país"" + 0.011*""brasil"" + 0.010*""democracia"" + 0.009*""eleição"" + 0.009*""todo"" + 0.008*""lula"" + 0.007*""governo"" + 0.006*""pessoa"""
