agenda_topic,agenda_terms,discourse_topic,discourse_terms,cosine_similarity
0,"0.043*""e"" + 0.029*""o"" + 0.026*""a"" + 0.022*""que"" + 0.016*""da"" + 0.015*""de"" + 0.013*""com"" + 0.011*""para"" + 0.010*""brasil"" + 0.008*""os""",1,"0.018*""todo"" + 0.008*""parlamentar"" + 0.007*""ano"" + 0.007*""casa"" + 0.007*""brasileiro"" + 0.006*""sr_presidente"" + 0.006*""brasil"" + 0.005*""momento"" + 0.005*""projeto"" + 0.005*""crime""",0.7345337179256348
1,"0.023*""de"" + 0.018*""da"" + 0.017*""e"" + 0.016*""a"" + 0.015*""que"" + 0.013*""do"" + 0.013*""o"" + 0.011*""as"" + 0.009*""ao"" + 0.009*""com""",1,"0.018*""todo"" + 0.008*""parlamentar"" + 0.007*""ano"" + 0.007*""casa"" + 0.007*""brasileiro"" + 0.006*""sr_presidente"" + 0.006*""brasil"" + 0.005*""momento"" + 0.005*""projeto"" + 0.005*""crime""",0.4610497326247006
2,"0.069*""e"" + 0.048*""de"" + 0.033*""a"" + 0.025*""o"" + 0.022*""da"" + 0.016*""do"" + 0.015*""que"" + 0.012*""para"" + 0.011*""com"" + 0.009*""na""",1,"0.018*""todo"" + 0.008*""parlamentar"" + 0.007*""ano"" + 0.007*""casa"" + 0.007*""brasileiro"" + 0.006*""sr_presidente"" + 0.006*""brasil"" + 0.005*""momento"" + 0.005*""projeto"" + 0.005*""crime""",0.4377786332298546
3,"0.032*""a"" + 0.031*""de"" + 0.031*""e"" + 0.024*""que"" + 0.016*""o"" + 0.012*""as"" + 0.011*""nos"" + 0.011*""da"" + 0.008*""em"" + 0.008*""do""",1,"0.018*""todo"" + 0.008*""parlamentar"" + 0.007*""ano"" + 0.007*""casa"" + 0.007*""brasileiro"" + 0.006*""sr_presidente"" + 0.006*""brasil"" + 0.005*""momento"" + 0.005*""projeto"" + 0.005*""crime""",0.4549704222958111
