doc_id,topic,probability
0,0,0.00025657783
0,1,0.9959605
0,2,0.0002726129
0,3,0.00020116361
0,4,0.0004635259
0,5,0.00031332427
0,6,0.00023094876
0,7,0.0003540169
0,8,0.00028461634
0,9,0.00038052237
0,10,0.00028767786
0,11,0.00032314096
0,12,0.00021368028
0,13,0.00021433916
0,14,0.00024331528
1,0,8.8225905e-05
1,1,0.00019618044
1,2,9.373967e-05
1,3,6.917137e-05
1,4,0.0001593863
1,5,0.9985226
1,6,7.9413185e-05
1,7,0.00012173093
1,8,9.786712e-05
1,9,0.00013084502
1,10,9.8919845e-05
1,11,0.00011111405
1,12,7.347531e-05
1,13,7.370187e-05
1,14,8.3665494e-05
2,0,0.00047908517
2,1,0.0010653009
2,2,0.00050902605
2,3,0.00037561508
2,4,0.00086550106
2,5,0.9919772
2,6,0.00043123026
2,7,0.00066102453
2,8,0.00053143903
2,9,0.0007105159
2,10,0.00053715555
2,11,0.00060337264
2,12,0.00039898636
2,13,0.00040021664
2,14,0.0004543212
3,0,0.00032031635
3,1,0.00071226025
3,2,0.00034033484
3,3,0.00025113625
3,4,0.000578674
3,5,0.00039115964
3,6,0.00028832056
3,7,0.00044196102
3,8,0.00035532014
3,9,0.00047505094
3,10,0.9946039
3,11,0.00040341498
3,12,0.0002667623
3,13,0.00026758484
3,14,0.00030375918
4,0,0.99721706
4,1,0.00036472062
4,2,0.00017427217
4,3,0.00012859705
4,4,0.00029631634
4,5,0.00020029757
4,6,0.0001476377
4,7,0.00022631096
4,8,0.00018194555
4,9,0.00024325501
4,10,0.00018390268
4,11,0.00020657304
4,12,0.00013659854
4,13,0.00013701974
4,14,0.0001555432
5,0,0.055656888
5,1,0.123759486
5,2,0.059135217
5,3,0.04363643
5,4,0.10054808
5,5,0.067966335
5,6,0.050097425
5,7,0.07679338
5,8,0.061739005
5,9,0.08254295
5,10,0.06240311
5,11,0.07009577
5,12,0.04635155
5,13,0.04649447
5,14,0.052779976
6,0,4.9840484e-05
6,1,0.00011082605
6,2,5.2955314e-05
6,3,3.907622e-05
6,4,9.004035e-05
6,5,6.086354e-05
6,6,4.4862012e-05
6,7,6.876812e-05
6,8,0.99915993
6,9,7.391683e-05
6,10,5.5881697e-05
6,11,6.2770436e-05
6,12,4.1507596e-05
6,13,4.1635583e-05
6,14,4.7264224e-05
7,0,0.00028494495
7,1,0.99551386
7,2,0.0003027529
7,3,0.00022340417
7,4,0.0005147731
7,5,0.00034796528
7,6,0.00025648234
7,7,0.00039315684
7,8,0.0003160834
7,9,0.00042259277
7,10,0.0003194834
7,11,0.00035886728
7,12,0.00023730467
7,13,0.0002380364
7,14,0.00027021611
8,0,0.9986065
8,1,0.00018262847
8,2,8.726422e-05
8,3,6.439308e-05
8,4,0.00014837604
8,5,0.00010029605
8,6,7.39274e-05
8,7,0.000113321876
8,8,9.110655e-05
8,9,0.00012180636
8,10,9.208656e-05
8,11,0.0001034384
8,12,6.8399706e-05
8,13,6.8610614e-05
8,14,7.788596e-05
9,0,0.0003839513
9,1,0.0008537598
9,2,0.0004079467
9,3,0.00030102767
9,4,0.000693635
9,5,0.0004688685
9,6,0.0003455991
9,7,0.9936311
9,8,0.000425909
9,9,0.0005694259
9,10,0.00043049039
9,11,0.00048355848
9,12,0.00031975802
9,13,0.00032074397
9,14,0.00036410478
10,0,0.0008460972
10,1,0.0018813944
10,2,0.0008989749
10,3,0.0006633619
10,4,0.98632634
10,5,0.0010332257
10,6,0.00076158217
10,7,0.0011674146
10,8,0.00093855767
10,9,0.0012548197
10,10,0.00094865344
10,11,0.0010655974
10,12,0.0007046372
10,13,0.00070681
10,14,0.00080236234
11,0,0.9939374
11,1,0.00079451123
11,2,0.00037963633
11,3,0.00028013717
11,4,0.0006454986
11,5,0.0004363303
11,6,0.0003216155
11,7,0.00049299817
11,8,0.00039635212
11,9,0.0005299093
11,10,0.00040061554
11,11,0.00045000087
11,12,0.0002975677
11,13,0.00029848525
11,14,0.00033883692
12,0,5.0008348e-05
12,1,0.99921286
12,2,5.3133666e-05
12,3,3.920783e-05
12,4,9.0343594e-05
12,5,6.1068524e-05
12,6,4.501311e-05
12,7,6.8999725e-05
12,8,5.54732e-05
12,9,7.416578e-05
12,10,5.6069905e-05
12,11,6.2981846e-05
12,12,4.1647392e-05
12,13,4.1775813e-05
12,14,4.7423408e-05
13,0,0.0004647077
13,1,0.001033331
13,2,0.0004937501
13,3,0.0003643428
13,4,0.0008395272
13,5,0.0005674855
13,6,0.00041828895
13,7,0.000641187
13,8,0.0005154904
13,9,0.9923395
13,10,0.0005210354
13,11,0.0005852653
13,12,0.0003870127
13,13,0.00038820604
13,14,0.0004406869
14,0,6.3826184e-05
14,1,0.00014192486
14,2,6.781507e-05
14,3,5.004137e-05
14,4,0.61423385
14,5,7.794241e-05
14,6,0.38479218
14,7,8.8065084e-05
14,8,7.0801034e-05
14,9,9.465858e-05
14,10,7.156262e-05
14,11,8.03844e-05
14,12,5.315501e-05
14,13,5.3318916e-05
14,14,6.0527003e-05
15,0,6.7157736e-05
15,1,0.00014933295
15,2,0.4429767
15,3,5.265339e-05
15,4,0.55600935
15,5,8.201079e-05
15,6,6.0449478e-05
15,7,9.266184e-05
15,8,7.449665e-05
15,9,9.959949e-05
15,10,7.529799e-05
15,11,8.458025e-05
15,12,5.592956e-05
15,13,5.6102013e-05
15,14,6.368635e-05
16,0,0.00058852707
16,1,0.0013086576
16,2,0.0006253077
16,3,0.00046142036
16,4,0.9904889
16,5,0.00071868964
16,6,0.00052974024
16,7,0.0008120286
16,8,0.00065284065
16,9,0.0008728257
16,10,0.000659863
16,11,0.00074120675
16,12,0.00049013057
16,13,0.00049164187
16,14,0.00055810605
17,0,0.00019507356
17,1,0.0004337685
17,2,0.00020726488
17,3,0.00015294268
17,4,0.34208384
17,5,0.00023821733
17,6,0.111125164
17,7,0.0002691555
17,8,0.00021639097
17,9,0.00028930735
17,10,0.00021871862
17,11,0.5440597
17,12,0.00016245898
17,13,0.00016295993
17,14,0.00018499019
18,0,6.3827276e-05
18,1,0.00014192729
18,2,6.7816225e-05
18,3,5.0042225e-05
18,4,0.99896854
18,5,7.794374e-05
18,6,5.7451693e-05
18,7,8.806659e-05
18,8,7.080224e-05
18,9,9.4660194e-05
18,10,7.156384e-05
18,11,8.038578e-05
18,12,5.315592e-05
18,13,5.3319825e-05
18,14,6.0528037e-05
19,0,0.00024442156
19,1,0.5412168
19,2,0.0002596969
19,3,0.00019163277
19,4,0.45537668
19,5,0.00029847946
19,6,0.00022000675
19,7,0.0003372441
19,8,0.00027113163
19,9,0.0003624938
19,10,0.00027404813
19,11,0.00030783104
19,12,0.00020355642
19,13,0.00020418409
19,14,0.00023178737
20,0,0.00011604208
20,1,0.0002580329
20,2,0.00012329424
20,3,9.097997e-05
20,4,0.6432539
20,5,0.00014170671
20,6,0.00010445085
20,7,0.35503083
20,8,0.00012872301
20,9,0.0001720983
20,10,0.00013010764
20,11,0.00014614649
20,12,9.664087e-05
20,13,9.693886e-05
20,14,0.000110043846
21,0,4.9686212e-05
21,1,0.9992179
21,2,5.27914e-05
21,3,3.8955266e-05
21,4,8.976164e-05
21,5,6.0675146e-05
21,6,4.472315e-05
21,7,6.855525e-05
21,8,5.5115863e-05
21,9,7.368803e-05
21,10,5.5708726e-05
21,11,6.257614e-05
21,12,4.1379117e-05
21,13,4.1506708e-05
21,14,4.7117926e-05
22,0,6.331489e-05
22,1,0.7660297
22,2,6.7271816e-05
22,3,4.96405e-05
22,4,0.23308793
22,5,7.731803e-05
22,6,5.6990488e-05
22,7,8.7359615e-05
22,8,7.0233866e-05
22,9,9.390029e-05
22,10,7.098935e-05
22,11,7.9740465e-05
22,12,5.27292e-05
22,13,5.2891788e-05
22,14,6.0042137e-05
23,0,6.4628824e-05
23,1,0.0001437096
23,2,6.866786e-05
23,3,5.0670656e-05
23,4,0.00011675651
23,5,7.892256e-05
23,6,5.8173173e-05
23,7,8.917253e-05
23,8,7.169138e-05
23,9,9.584894e-05
23,10,7.246254e-05
23,11,8.1395265e-05
23,12,5.3823453e-05
23,13,5.3989417e-05
23,14,0.99890006
24,0,0.00013772924
24,1,0.00030625678
24,2,0.00014633677
24,3,0.00010798326
24,4,0.00024881755
24,5,0.9976936
24,6,0.00012397172
24,7,0.00019003387
24,8,0.00015278012
24,9,0.00020426183
24,10,0.00015442353
24,11,0.00017345988
24,12,0.000114702125
24,13,0.0001150558
24,14,0.00013060999
25,0,0.00030757897
25,1,0.00068393716
25,2,0.0003268014
25,3,0.00024114981
25,4,0.000555663
25,5,0.99484926
25,6,0.00027685548
25,7,0.00042438644
25,8,0.0003411908
25,9,0.00045616052
25,10,0.0003448609
25,11,0.00038737315
25,12,0.00025615448
25,13,0.00025694433
25,14,0.00029168016
26,0,0.00019756277
26,1,0.00043930352
26,2,0.00020990965
26,3,0.00015489428
26,4,0.00035691104
26,5,0.00024125705
26,6,0.0001778286
26,7,0.00027259003
26,8,0.99666953
26,9,0.000292999
26,10,0.00022150953
26,11,0.0002488158
26,12,0.00016453202
26,13,0.00016503934
26,14,0.00018735071
27,0,7.354386e-05
27,1,0.00016353322
27,2,7.814005e-05
27,3,5.7660272e-05
27,4,0.00013286216
27,5,0.99876845
27,6,6.61977e-05
27,7,0.000101473175
27,8,8.158064e-05
27,9,0.00010907054
27,10,8.245818e-05
27,11,9.262309e-05
