topic,terms
0,"0.010*""todo"" + 0.006*""brasileiro"" + 0.005*""sr_presidente"" + 0.005*""pec"" + 0.005*""art"" + 0.005*""ordem"" + 0.005*""união"" + 0.004*""questão"" + 0.004*""prazo"" + 0.004*""brasil"""
1,"0.007*""todo"" + 0.006*""vez"" + 0.006*""brasil"" + 0.006*""grande"" + 0.006*""redução"" + 0.005*""união"" + 0.005*""povo"" + 0.005*""momento"" + 0.005*""hoje"" + 0.005*""real"""
2,"0.011*""união"" + 0.007*""videogame"" + 0.007*""brasil"" + 0.006*""hoje"" + 0.006*""game"" + 0.006*""ordem"" + 0.006*""dar"" + 0.006*""aplicativo"" + 0.006*""sp"" + 0.005*""todo"""
3,"0.010*""médico"" + 0.009*""grande"" + 0.008*""país"" + 0.007*""brasil"" + 0.007*""todo"" + 0.007*""brasileiro"" + 0.006*""ano"" + 0.006*""bom"" + 0.006*""saúde"" + 0.005*""hoje"""
4,"0.014*""real"" + 0.011*""salário"" + 0.010*""mil"" + 0.010*""governo"" + 0.010*""dinheiro"" + 0.009*""pobre"" + 0.008*""todo"" + 0.007*""pagar"" + 0.006*""votar"" + 0.006*""aumentar"""
5,"0.013*""grande"" + 0.010*""todo"" + 0.006*""amigo"" + 0.006*""votação"" + 0.005*""vereador"" + 0.005*""união"" + 0.005*""hoje"" + 0.004*""trabalho"" + 0.004*""brasil"" + 0.004*""sr_presidente"""
6,"0.008*""d_alfredo"" + 0.007*""vez"" + 0.006*""contra"" + 0.006*""todo"" + 0.005*""vida"" + 0.005*""coisa"" + 0.005*""hoje"" + 0.004*""deus"" + 0.004*""povo"" + 0.004*""grande"""
