topic,terms,terms_clean,embedding
0,"0.008*""trabalhador"" + 0.008*""todo"" + 0.007*""brasileiro"" + 0.005*""sr_presidente"" + 0.005*""rural"" + 0.005*""saber"" + 0.005*""hoje"" + 0.005*""país"" + 0.004*""semana"" + 0.004*""serviço""",trabalhador todo brasileiro sr_presidente rural saber hoje país semana serviço,"[0.014570030383765697, -0.03213948383927345, 0.006154957693070173, 0.00835365243256092, 0.0523858368396759, 0.03506474569439888, 0.05673886835575104, 0.03140662610530853, 0.020637769252061844, 0.01648958958685398, 0.07634858787059784, -0.039990853518247604, -0.07946142554283142, 0.10166262090206146, -0.052466366440057755, -0.054259125143289566, 0.0008618909632787108, -0.04241686314344406, 0.024810094386339188, -0.03528113290667534, 0.05231083184480667, 0.05336776003241539, -0.11764528602361679, 0.05371365696191788, 0.0944431871175766, -0.0028951263520866632, 0.017622442916035652, -0.03254279866814613, 0.0033171651884913445, -0.06753692030906677, -0.013655420392751694, -0.0325339213013649, 0.03264407068490982, 0.07565983384847641, 0.04000939428806305, 0.03855350613594055, 0.03778083622455597, -0.025852108374238014, 0.024575509130954742, 0.02952508255839348, -0.037156108766794205, -0.1637173593044281, 0.02662344090640545, -0.005164130125194788, 0.006957085337489843, -0.0390152670443058, 0.029852887615561485, 0.022398384287953377, -0.015171813778579235, -0.02421480044722557, -0.00484969699755311, -0.02863844484090805, -0.0420600026845932, 0.0018282294040545821, 0.006261621601879597, 0.006612055469304323, 0.05944010987877846, 0.002746216719970107, 0.002440782729536295, 0.07006680220365524, 0.009271536953747272, 0.0593966580927372, -0.06833797693252563, 0.01887103170156479, -0.0726567804813385, -0.05346779525279999, 0.005471852608025074, -0.0558122918009758, -0.11800002306699753, 0.05587884783744812, -0.0019776446279138327, -0.01875459775328636, -0.033809710294008255, -0.0120675815269351, 0.027673264965415, 0.039250146597623825, 0.00423597265034914, 0.02198040671646595, 0.0529039166867733, -0.02601683884859085, 0.029107432812452316, 0.06483979523181915, -0.07400351017713547, 0.062091164290905, -0.0008649042574688792, -0.003506031818687916, 0.04714927449822426, 0.008987572975456715, 0.08790835738182068, -0.1403340846300125, 0.04102437198162079, 0.01715293526649475, 0.02772824838757515, 0.023463360965251923, 0.05293484404683113, -0.03104219026863575, 0.002285600872710347, 0.04545695334672928, -0.04012016952037811, 0.07534882426261902, -0.07589330524206161, 0.0635443776845932, -0.017225509509444237, -0.08135297149419785, -0.04449018836021423, 0.044360753148794174, -0.12328203022480011, 0.006369845476001501, 0.021835805848240852, -0.00545549625530839, -0.010236665606498718, -0.01959664188325405, -0.13749152421951294, 0.031137267127633095, 0.009812705218791962, -0.015290250070393085, 0.002162604359909892, -0.0378837063908577, -0.06870578974485397, 0.09784555435180664, 0.007856079377233982, -0.06989920884370804, -0.006713947281241417, -0.07242988049983978, 0.04585011675953865, -0.0565701462328434, 0.04594165459275246, -0.045420922338962555, 0.048741426318883896, 1.8307506252313033e-05, 0.021801352500915527, -0.018586747348308563, 0.003897072048857808, -0.012474617920815945, -0.04589144140481949, 0.01576676405966282, 0.07309182733297348, -0.016310522332787514, -0.03575998172163963, 0.06076789274811745, 0.004041788633912802, 0.11794883757829666, -0.02242620661854744, 0.08555827289819717, 0.011296072043478489, -0.06244373694062233, 0.01568349078297615, -0.011233363300561905, 0.023771749809384346, 0.0007400148897431791, -0.024506937712430954, 0.017841460183262825, 0.07110731303691864, 0.022063033655285835, 0.019301723688840866, -0.08312995731830597, 0.10089106112718582, 0.0033662165515124798, 0.07110998779535294, -0.03525610640645027, 0.0012181802885606885, 0.02313951589167118, -0.13087628781795502, -0.01972476951777935, 0.038441985845565796, -0.010880479589104652, -0.04781287536025047, -0.004670409020036459, 0.01680784299969673, 0.014295470900833607, 0.015009412541985512, -0.011614644899964333, -0.016102463006973267, 0.04086554795503616, 0.11062950640916824, 0.06125277653336525, 0.06005292385816574, 0.004304422065615654, -0.025115538388490677, -0.03331080451607704, 0.04735611379146576, -0.026816939935088158, 0.05356667935848236, 0.01709158718585968, -0.06138290464878082, 0.07042552530765533, -0.06547394394874573, -0.0023932589683681726, 0.03819394111633301, -0.0871763750910759, 0.036947645246982574, 0.06597964465618134, -0.00495216716080904, 0.022588171064853668, 0.05120078846812248, -0.017459219321608543, 0.032024819403886795, 0.0388675332069397, 0.01914188452064991, 0.02480468712747097, -0.09683183580636978, 0.027780959382653236, -0.06666001677513123, -0.06160383298993111, 0.022692935541272163, 0.021892566233873367, -0.050406552851200104, 0.038186267018318176, -0.023905368521809578, 0.07233846187591553, 0.012953811325132847, 0.04871777072548866, 0.03729882463812828, -0.029570147395133972, 0.0019505631644278765, 0.09894437342882156, 0.0016778609715402126, 0.0213778056204319, -0.1502886712551117, 0.04268920421600342, 0.006258165929466486, 0.03887714818120003, -0.03203112259507179, -0.04840102419257164, -0.08267444372177124, 0.03175815939903259, -0.013103311881422997, 0.12242057174444199, 0.05387077108025551, -0.01638071797788143, -0.025686442852020264, 0.03519384190440178, -0.0371524803340435, 0.029158541932702065, -0.07704539597034454, -0.06411868333816528, 0.04933083429932594, -0.05832654982805252, 0.008721749298274517, 0.011578934267163277, -0.03390713036060333, -0.025372037664055824, -0.06007219851016998, 0.10953342169523239, 0.02209661900997162, 0.0555192306637764, 0.011712005361914635, 0.050515316426754, -0.06268603354692459, 0.05258134752511978, -0.029666470363736153, -0.04448000341653824, -0.10715668648481369, -0.05462631583213806, -0.010643509216606617, -0.0188172347843647, -0.031035058200359344, 0.03074316494166851, 0.003486609784886241, 0.04461207240819931, -0.08052222430706024, -0.016038808971643448, 0.06484053283929825, 0.133112370967865, 0.03605085611343384, -0.04971588775515556, -0.03979263827204704, 0.0325496643781662, -0.08940473198890686, -0.09997544437646866, -0.02598479576408863, -0.1007530689239502, -0.05235694721341133, 0.06454132497310638, 0.05356269329786301, -0.0397789366543293, -0.021782243624329567, 0.0008542027208022773, 0.015665430575609207, -0.006384917069226503, -0.002864194568246603, -0.015874557197093964, -0.05892248824238777, 0.0531095489859581, -0.029637044295668602, -0.016915351152420044, 0.036103181540966034, 0.03737310692667961, -0.030267151072621346, 0.00508109899237752, -0.011065272614359856, 0.05480256676673889, 0.03982798382639885, 0.015196743421256542, 0.011195389553904533, -0.04985671862959862, -0.05677109956741333, 0.05124863609671593, 0.020981619134545326, -0.02402138151228428, -0.05088469013571739, -0.00783555768430233, 0.0037285522557795048, -0.11038756370544434, -0.03246348351240158, -0.06998637318611145, 0.042911071330308914, 0.030665958300232887, 0.00977583322674036, 0.04950329661369324, 0.019374912604689598, 0.05677502229809761, 0.12865744531154633, 0.04626907408237457, 0.014661548659205437, 0.012922669760882854, -0.040167633444070816, 0.026536142453551292, 0.009049467742443085, -0.051237836480140686, 0.0060964650474488735, 0.040772296488285065, 0.004535409156233072, -0.01687033101916313, 0.019339485093951225, -0.02956007607281208, 0.02604515291750431, -0.0296640582382679, 0.0091183390468359, 0.06132493540644646, 0.03880146145820618, -0.061174869537353516, -0.057028282433748245, -0.0413757860660553, 0.05289798974990845, 0.023319199681282043, -0.03193673491477966, 0.09365230053663254, -0.024037834256887436, -0.07748023420572281, 0.01719665341079235, 0.01311928778886795, -0.027379298582673073, -0.06515733897686005, 0.005774353165179491, -0.011818673461675644, -0.12973499298095703, 0.10129711776971817, 0.003084797179326415, 0.02412017621099949, -0.07304500043392181, 0.06901713460683823, -0.1137714609503746, -0.11192049831151962, -0.03545582294464111, 0.03679156303405762, 0.030567796900868416, 0.0017031722236424685, 0.0014337162720039487, -0.013269071467220783, 0.012334496714174747, 0.0175664983689785, 0.021601567044854164, -0.004272453486919403, 0.025022514164447784, -0.08646171540021896, -0.055275093764066696, 0.02444223128259182, 0.004293594043701887, -0.02044585533440113, -0.11422205716371536, -0.0064974999986588955, 0.120071642100811, 0.04734570533037186, 0.04992438480257988, -0.07756822556257248, -0.007801918312907219, -0.07983525097370148, 0.01298968680202961, -0.01322964671999216, 0.022236542776226997, 0.010242431424558163, -0.05715011805295944, 0.038713883608579636]"
1,"0.011*""dinheiro"" + 0.009*""energia"" + 0.009*""veto"" + 0.008*""todo"" + 0.008*""governo"" + 0.008*""vez"" + 0.008*""redução"" + 0.008*""real"" + 0.007*""brasil"" + 0.007*""alíquota""",dinheiro energia veto todo governo vez redução real brasil alíquota,"[-0.0610513910651207, 0.0730021670460701, 0.009638712741434574, 0.050227902829647064, 0.10852143913507462, 0.028884392231702805, 0.021446887403726578, 0.07100087404251099, 0.0936231017112732, 0.0291975699365139, -0.0267209280282259, -0.018056336790323257, -0.04684504494071007, -0.011404856108129025, -0.07376932352781296, -0.016150329262018204, 0.003888661740347743, 0.00860344897955656, 0.04056677222251892, 0.042725369334220886, 0.15113304555416107, -0.03331657499074936, -0.09314368665218353, 0.0675337091088295, 0.0032172431237995625, 0.052701473236083984, -0.031402237713336945, -0.04088372737169266, 0.023517318069934845, -0.03994804248213768, 0.08148229122161865, -0.0255585964769125, 0.01123166736215353, -0.015614291653037071, 0.09012484550476074, -0.06306654214859009, 0.02523140050470829, -0.030996480956673622, 0.008776210248470306, -0.019718414172530174, -0.04592151194810867, -0.10196460783481598, -0.005054679699242115, -0.06021009758114815, 0.028745712712407112, 0.026148615404963493, 0.08225042372941971, -0.004140303935855627, -0.05778884515166283, -0.002788289450109005, 0.07731731235980988, 0.013719522394239902, -0.032121650874614716, -0.002996036084368825, -0.02094685472548008, -0.04740111902356148, 0.079841747879982, -0.05225714296102524, 0.012495088391005993, -0.03896653279662132, -0.04069042205810547, 0.06551678478717804, -0.01062076073139906, -0.007754547521471977, -0.009752961806952953, -0.017940230667591095, 0.010657229460775852, 0.03543776646256447, 0.012702525593340397, 0.0541948601603508, 0.08795715868473053, -0.08689305186271667, 0.042214397341012955, -0.02871636115014553, 0.08255086094141006, 0.06471364200115204, -0.03227710351347923, 0.040961384773254395, 0.063776895403862, -0.028629790991544724, 0.01736184023320675, 0.0028130551800131798, -0.06986434012651443, -0.0692703127861023, -0.015666594728827477, -0.021218491718173027, 0.1856764405965805, 0.01707988977432251, 0.12629109621047974, -0.10067560523748398, 0.022003650665283203, 0.05503038316965103, 0.13292261958122253, 0.04836294427514076, -0.00730231124907732, -0.06379600614309311, -0.03614694997668266, 0.009379709139466286, -0.00263852346688509, -0.025293810293078423, -0.030645165592432022, 0.0868881568312645, -0.06431892514228821, 0.01930844970047474, -0.0001246175670530647, -0.019519604742527008, -0.03834931179881096, 0.05612912029027939, 0.0763329416513443, -0.04121913015842438, 0.01291449274867773, 0.02519194968044758, -0.03100111335515976, 0.05143257603049278, -0.05158453807234764, -0.048260726034641266, 0.043576519936323166, -0.01902182772755623, 0.00034534631413407624, 0.012755774892866611, -0.0012734656920656562, -0.0476798452436924, 0.004650875460356474, -0.027300043031573296, 0.009639894589781761, 0.0062128403224051, -0.04183802008628845, -0.04252594709396362, -0.0032187490724027157, -0.10229215025901794, 0.0170331671833992, -0.11441491544246674, -0.07024558633565903, 0.020669186487793922, -0.04079149663448334, 0.0007882504723966122, -0.020910412073135376, 0.0031705820001661777, 0.021579541265964508, 0.10188714414834976, 0.016143707558512688, 0.06931693106889725, 0.006194352172315121, 0.042405374348163605, -0.05222652107477188, 0.015129990875720978, 0.06628574430942535, -0.02912960574030876, 0.07680404931306839, 0.013700958341360092, 0.012957834638655186, 0.027701249346137047, 0.03643830865621567, 0.020612211897969246, 0.017152970656752586, -0.09951051324605942, 0.03966697305440903, 0.024896377697587013, 0.008859837427735329, -0.011526497080922127, 0.02626487798988819, -0.015387442894279957, -0.11039066314697266, 0.031207973137497902, 0.06384661793708801, 0.01081593707203865, -0.026333553716540337, 0.04348378628492355, -0.037970006465911865, 0.01826421357691288, 0.05289407819509506, -0.004926197696477175, -0.03411727771162987, -0.033184148371219635, 0.0692690759897232, -0.056217361241579056, -0.09041225910186768, 0.004357992671430111, -0.08811882883310318, -0.048880819231271744, -0.044330645352602005, -0.0025026288349181414, 0.018935726955533028, -0.06938769668340683, -0.054976124316453934, 0.0328204520046711, -0.013147102668881416, -0.12290031462907791, -0.04502464830875397, -0.03501619026064873, -0.02407580055296421, 0.01749143749475479, 0.038404833525419235, 0.11731747537851334, 0.03520693629980087, -0.030543189495801926, -0.07635919004678726, 0.025316748768091202, -0.011634430848062038, -0.029251039028167725, -0.034767281264066696, 0.006658206693828106, -0.07702719420194626, -0.07038313895463943, 0.009057027287781239, 0.02693917229771614, -0.055794477462768555, -0.023742398247122765, 0.0019154417095705867, 0.01512969471514225, 0.07029527425765991, -0.023467030376195908, 0.001647865166887641, -0.005888232495635748, 0.04865637049078941, 0.03368792682886124, -0.03581969067454338, 0.019334660843014717, -0.08887166529893875, 0.001802586717531085, 0.018939891830086708, 0.04256216436624527, 0.003918179776519537, 0.01344359666109085, -0.05572855472564697, -0.023193642497062683, -0.001364024356007576, 0.07496108114719391, -0.044205211102962494, 0.011272129602730274, -0.10221526026725769, -0.09678510576486588, 0.012695146724581718, -0.027516039088368416, -0.08862145245075226, -0.03617721050977707, 0.05530022084712982, -0.05066092312335968, -0.026479877531528473, -0.04738026484847069, 0.015425537712872028, -0.040034014731645584, -0.08082066476345062, 0.02415260300040245, -0.027365949004888535, 0.043237730860710144, -0.030836455523967743, 0.10429123789072037, -0.03276609629392624, -0.01612965203821659, 0.04010612890124321, -0.016394494101405144, 0.016886375844478607, 0.0017654281109571457, 0.009937490336596966, 0.050245847553014755, 0.02579694800078869, -0.039214301854372025, -0.038913071155548096, -0.04918510466814041, -0.07488135248422623, 0.03366660326719284, -0.0030099598225206137, 0.11809602379798889, 0.07579032331705093, -0.008690311573445797, -0.010203398764133453, 0.012846664525568485, -0.07997053116559982, -0.08736011385917664, -0.01834581233561039, -0.07116610556840897, 0.003896295092999935, -0.006950157228857279, 0.006537166889756918, -0.14415843784809113, 0.01371049229055643, 0.058661967515945435, -0.025733282789587975, 0.008490080013871193, 0.0916748195886612, 0.10055379569530487, -0.053869351744651794, 0.04280197247862816, 0.04054071381688118, 0.015533112920820713, 0.023629849776625633, -0.02416187897324562, 0.016603879630565643, 0.025045081973075867, -0.020805835723876953, 0.006795777007937431, 0.10938895493745804, 0.003137361491099, 0.049725908786058426, 0.016696162521839142, -0.02205304242670536, 0.05384257808327675, 0.024860670790076256, 0.041870277374982834, -0.00199395464733243, 0.01302894577383995, 0.04879037290811539, -0.017606986686587334, 0.016686497256159782, -0.037856325507164, 0.12902776896953583, -0.03600648418068886, 0.015883075073361397, -0.03008214570581913, -0.06298325955867767, -0.03632482513785362, -0.009631386026740074, 0.014077716507017612, 0.06511569768190384, -0.010201687924563885, 0.031145388260483742, -0.012484069913625717, 0.00872730277478695, 0.02619791403412819, 0.03196290507912636, 0.002706025494262576, 0.12942032516002655, 0.03389791399240494, -0.009404115378856659, 0.020118046551942825, 0.051275767385959625, -0.027034321799874306, 0.0012686802074313164, -0.06842640042304993, 0.09798867255449295, -0.05121850594878197, -0.01765945926308632, -0.03587384149432182, -0.002166123129427433, 0.028656577691435814, 0.007350311614573002, 0.060009200125932693, -0.006198432296514511, 0.02836446464061737, -0.04399017617106438, 0.024640509858727455, -0.023298505693674088, -0.11975575238466263, 0.02250167727470398, 0.0008526119636371732, 0.04625093191862106, 0.059848278760910034, 0.03557296842336655, -0.08534454554319382, -0.03678138554096222, -0.028406348079442978, 0.013556309044361115, -0.042044490575790405, -0.042093124240636826, 0.029583649709820747, 0.02995322272181511, 0.04968252778053284, -0.016420138999819756, -0.027143310755491257, 0.10775008797645569, 0.015603074803948402, -0.049240998923778534, -0.06544701009988785, -0.10811568796634674, -0.03843672201037407, -0.0953681692481041, -0.0007894037989899516, -0.022107692435383797, 0.05341622978448868, -0.024404700845479965, -0.02932826429605484, 0.017366036772727966, 0.015243692323565483, 0.07634645700454712, -0.1083332821726799, 0.026370640844106674, -0.007977341301739216, -0.05619020387530327, -0.013692335225641727, 0.08293958753347397, -0.08017882704734802, 0.013980051502585411, 0.04700273647904396]"
2,"0.013*""videogame"" + 0.010*""game"" + 0.009*""emprego"" + 0.009*""indústria"" + 0.008*""brasil"" + 0.008*""jogo"" + 0.008*""desenvolver"" + 0.008*""renda"" + 0.007*""gente"" + 0.007*""dar""",videogame game emprego indústria brasil jogo desenvolver renda gente dar,"[0.0256641935557127, -0.09897413104772568, -0.016902536153793335, -0.050816021859645844, -0.052172884345054626, -0.002089632907882333, 0.040962573140859604, 0.038227904587984085, 0.0854584351181984, 0.07033658772706985, 0.017955876886844635, 0.019959045574069023, -0.05453576520085335, 0.011703116819262505, 0.05624396353960037, 0.02566893771290779, -0.03719868138432503, -0.029031597077846527, -0.05110124871134758, -0.03446595370769501, -0.0047988672740757465, -0.07930562645196915, -0.07285039126873016, 0.0032226804178208113, 0.006700820755213499, 0.005877455696463585, -0.010620770044624805, 0.009684094227850437, 0.014879457652568817, 0.0030124294571578503, 0.06026060879230499, 0.022682039067149162, 0.10109997540712357, -0.009548546746373177, -0.07373375445604324, 0.013611084781587124, -0.00860991794615984, -0.012870410457253456, -0.06740177422761917, -0.044376518577337265, -0.07856099307537079, 0.006976268254220486, -0.006432349793612957, -0.016577860340476036, -0.02525453269481659, -0.02932553179562092, 0.014050967060029507, -0.006552054081112146, -0.019191985949873924, 0.07090769708156586, -0.0013849932001903653, 0.007976396009325981, -0.04614691808819771, -0.05226697400212288, -0.01768573932349682, 0.024002768099308014, 0.05094701424241066, 0.0280488021671772, -0.03883408382534981, 0.04702251777052879, 0.033875443041324615, -0.06390119343996048, 0.005524992477148771, 0.03972184658050537, -0.028725579380989075, -0.08922446519136429, -0.02705930545926094, 0.07919816672801971, -0.11986527591943741, -0.05999095365405083, 0.04838893562555313, -0.11338673532009125, 0.00632478715851903, -0.008806386031210423, 0.05902884528040886, 0.09943553805351257, -0.006609749048948288, -0.046120598912239075, 0.11103048175573349, 0.05300949141383171, 0.0396990105509758, -0.05414093658328056, -0.0605950802564621, 0.005423093680292368, -0.040336012840270996, 0.011940591968595982, 0.0969354510307312, 0.019073816016316414, 0.10389391332864761, -0.020073896273970604, -0.03807363659143448, 0.06155833229422569, 0.045026227831840515, 0.04137703776359558, -0.028328800573945045, -0.05969147011637688, -0.04398544132709503, 0.018286509439349174, 0.015623269602656364, 0.04940380901098251, -0.012159459292888641, 0.0505816750228405, 0.016889464110136032, -0.021102657541632652, -0.017578113824129105, 0.01152857393026352, 0.032511983066797256, 0.04613509029150009, 0.0504763126373291, 0.034314125776290894, -0.11221907287836075, 0.055708859115839005, -0.1222182959318161, 0.10490039736032486, -0.01246146485209465, 0.0449565127491951, -0.013417264446616173, 0.0545540526509285, 0.022417787462472916, 0.02738727070391178, 0.05562740936875343, -0.05914904549717903, 0.042940929532051086, 0.011347353458404541, 0.04448546841740608, 0.0658058151602745, -0.005956674460321665, 0.027826497331261635, 0.007263645995408297, -0.03631281480193138, 0.01443675346672535, -0.03423912450671196, -0.04702494665980339, 0.031046470627188683, 0.0005449216114357114, 0.0570981428027153, -0.00628763809800148, 0.0005523863947018981, -0.04011622443795204, 0.11049109697341919, 0.042141035199165344, 0.1405644714832306, 0.12172839045524597, 0.043148547410964966, -0.02538304403424263, -0.051613643765449524, 0.06489928811788559, -0.025354819372296333, 0.06431322544813156, -0.06485280394554138, -0.05222746729850769, -0.006558444816619158, 0.03430575877428055, 0.06175997853279114, -0.0010075320024043322, -0.07316857576370239, 0.06355798244476318, 0.018386360257864, 0.026514822617173195, -0.014744817279279232, 0.04297322407364845, -0.012384412810206413, -0.03116230107843876, -5.5892895034048706e-05, 0.003356447909027338, -0.01901964284479618, -0.06654120981693268, 0.06579718738794327, -0.049609288573265076, -0.021318931132555008, -0.04706461727619171, 0.003678405424579978, -0.09783461689949036, -0.0414961576461792, 0.09543304890394211, -0.05593474209308624, -0.12187277525663376, 0.11175452172756195, -0.09974081814289093, 0.003064256627112627, 0.0759735181927681, 0.0077528213150799274, 0.005892383400350809, -0.07108374685049057, -0.023352479562163353, -0.037220437079668045, -0.05904538929462433, -0.036410827189683914, -0.02416771650314331, -0.04975384473800659, -0.0032687566708773375, 0.08938101679086685, -0.017144255340099335, 0.052385590970516205, 0.17316308617591858, -0.0338769406080246, 0.08848965913057327, 0.016784733161330223, 0.0363164097070694, 0.07249506562948227, -0.07573100179433823, -0.07402632385492325, -0.05708290636539459, -0.05829520523548126, -0.005290461238473654, 0.013678347691893578, -0.06174684315919876, 0.051577337086200714, -0.01931162178516388, -0.021791795268654823, -0.01940450631082058, -0.024552851915359497, -0.02920682542026043, 0.01969086192548275, 0.03600165992975235, -0.0026845401152968407, -0.037515442818403244, -0.05358431860804558, -0.07351013273000717, 0.04474330693483353, -0.04239249974489212, 0.08102796226739883, -0.025123804807662964, -0.026748791337013245, -0.09739889204502106, -0.050593797117471695, -0.018138542771339417, 0.00966271385550499, -0.013967471197247505, -0.054043740034103394, -0.051161061972379684, 0.031645774841308594, 0.059693921357393265, 0.016996344551444054, -0.1375483125448227, -0.013595975935459137, 0.07238107919692993, 0.03863693028688431, -0.14688630402088165, -0.04967784509062767, 0.034005843102931976, -0.021077163517475128, -0.012571563012897968, -0.019872797653079033, -0.014134888537228107, 0.06529363244771957, 0.015058958902955055, 0.0006902500754222274, -0.05741510167717934, 0.09907828271389008, -0.015695607289671898, -0.13344940543174744, -0.08763168752193451, 0.0513208732008934, 0.07257150858640671, 0.04297306761145592, 0.006312979385256767, -0.00044584422721527517, 0.05893995240330696, 0.06609911471605301, -0.012927006930112839, 0.06179530918598175, 0.02429654449224472, 0.09443129599094391, -0.03125789761543274, -0.0054699876345694065, -0.07090221345424652, 0.0038550745230168104, -0.03141285106539726, 0.02191019430756569, 0.03343041613698006, -0.02223411202430725, 0.05976499989628792, -0.040112096816301346, 0.05794477090239525, -0.07079342007637024, -0.03533382713794708, 0.016289880499243736, -0.09542057663202286, 0.01836274564266205, 0.04380354285240173, -0.0018123608315363526, -0.058245882391929626, 0.0014184487517923117, -0.0745774582028389, -0.013758232817053795, -0.011411860585212708, 0.05616419389843941, -0.023828161880373955, 0.06466961652040482, 0.012577095068991184, 0.06781888008117676, -0.017182979732751846, 0.01591593772172928, 0.006450933869928122, 0.027282118797302246, -0.022798892110586166, 0.09474977105855942, -0.1080160066485405, 0.04025350511074066, -0.04545668140053749, 0.009143764153122902, 0.06423074007034302, -0.008413163013756275, -0.019557297229766846, 0.01956017315387726, 0.04494437947869301, -0.03098813258111477, -0.02006605453789234, 0.062299229204654694, -0.013510475866496563, -0.07859078049659729, 0.024911364540457726, -0.009360619820654392, 0.002445243764668703, 0.07348862290382385, 0.013817116618156433, -0.05536063015460968, -0.040376413613557816, 0.0008511644555255771, 0.008272270672023296, 0.01680595986545086, 0.03976383060216904, 0.06609728187322617, -0.07490532100200653, -0.005762495566159487, -0.03354070335626602, -0.020795393735170364, 0.031081650406122208, 0.011218562722206116, 0.0014073930215090513, -0.030041299760341644, -0.047112733125686646, 0.004079292993992567, 0.02885161153972149, 0.046293288469314575, 0.008197235874831676, 0.10081066936254501, -0.005762321874499321, -0.02672695368528366, 0.0797056034207344, 0.06237899884581566, -0.026172609999775887, -0.012077493593096733, -0.08881878852844238, 0.022330936044454575, -0.015113635919988155, -0.023596378043293953, -0.0012011108919978142, -0.009815046563744545, 0.030237989500164986, 0.02949828840792179, 0.04913700371980667, -0.09647026658058167, 0.04028439521789551, -0.02269868552684784, -0.005288393702358007, 0.015611469745635986, -0.021028026938438416, -0.002924621570855379, -0.06752340495586395, 0.020424971356987953, 0.0016600802773609757, -0.05040647089481354, 0.00949193350970745, 0.007461112458258867, -0.06867069751024246, -0.05738461762666702, -0.031973227858543396, -0.018974676728248596, 0.05920267850160599, 0.06348751485347748, -0.006606654264032841, -0.01623639091849327, 0.03937484696507454, -0.06539870798587799, 0.002794336760416627, 0.06244324892759323, 0.03565438836812973, 0.002041697734966874, -0.006376062985509634, -0.091851606965065, 0.011124183423817158, -0.024967145174741745]"
