topic,terms
0,"0.049*""e"" + 0.043*""a"" + 0.037*""o"" + 0.035*""de"" + 0.022*""que"" + 0.016*""da"" + 0.015*""para"" + 0.014*""do"" + 0.011*""no"" + 0.010*""dos"""
1,"0.058*""de"" + 0.029*""sebrae"" + 0.027*""do"" + 0.022*""as"" + 0.019*""e"" + 0.014*""o"" + 0.013*""brasilia"" + 0.013*""no"" + 0.013*""edital"" + 0.011*""para"""
2,"0.076*""e"" + 0.046*""a"" + 0.044*""de"" + 0.034*""o"" + 0.022*""que"" + 0.015*""da"" + 0.015*""para"" + 0.012*""liberdade"" + 0.012*""do"" + 0.012*""na"""
3,"0.040*""e"" + 0.037*""de"" + 0.034*""a"" + 0.023*""2022"" + 0.019*""registro"" + 0.017*""s"" + 0.013*""no"" + 0.012*""o"" + 0.012*""para"" + 0.012*""que"""
4,"0.031*""e"" + 0.028*""de"" + 0.024*""o"" + 0.020*""dos"" + 0.015*""brasil"" + 0.015*""do"" + 0.013*""com"" + 0.012*""a"" + 0.011*""que"" + 0.010*""deve"""
5,"0.071*""de"" + 0.053*""e"" + 0.045*""a"" + 0.021*""o"" + 0.018*""da"" + 0.015*""que"" + 0.013*""em"" + 0.012*""para"" + 0.011*""2022"" + 0.011*""no"""
