chunk_id,chunk_text,preprocess_agenda,tokens
0,"Em 2011, um pequeno grupo percebeu que era preciso SAIR DA INDIGNAÇÃO PARA A AÇÃO DIAGNÓSTICO Impostos altos e péssimos serviços públicos Estado inchado e burocrático Modelo econômico insustentável Partidos políticos desacreditados SURGIA O NOVO.",2011 pequeno grupo perceber preciso sair indignação ação diagnóstico imposto alto péssimo serviço público estado inchar burocrático modelo econômico insustentável partido político desacreditar surgia novo,"[""2011"", ""pequeno"", ""grupo"", ""perceber"", ""preciso"", ""sair"", ""indignação"", ""ação"", ""diagnóstico"", ""imposto"", ""alto"", ""péssimo"", ""serviço"", ""público"", ""estado"", ""inchar"", ""burocrático"", ""modelo"", ""econômico"", ""insustentável"", ""partido"", ""político"", ""desacreditar"", ""surgia"", ""novo""]"
1,"PROPÓSITO Melhorar de forma duradoura a qualidade de vida do maior número de pessoas o mais rápido possível PREMISSAS 1 Ninguém melhor do que você pra administrar sua própria vida 2 Nada que o Estado fornece é gratuito 3 Não existe salvador da pátria PRINCÍPIOS E VALORES Somos uma instituição com princípios e valores inegociáveis 1 Livre mercado e direito à propriedade 2 Liberdade individual e respeito ao próximo Estado leve, eficiente e a serviço das pessoas 4 Combate à corrupção e aos privilégios 5 Império da lei e democracia 3 Oportunidades ao alcance de todos 6 O NOVO COMO INSTITUIÇÃO SÓCIOS filiados novas lideranças, novas práticas e novas posturas DIFERENCIAIS ATIVO a marca PRODUTO os mandatos CLIENTE o cidadão brasileiro nos desviarmos dos nossos princípios e valores RISCO A HISTÓRIA DO NOVO Criação de Registro como partido pelo TSE FUNDAÇÃO DO NOVO 17 novos diretórios 2016 2018 2020 2022 2024 2011 2015 2017 1ª ELEIÇÃO NACIONAL 2ª ELEIÇÃO NACIONAL 1ª ELEIÇÃO MUNICIPAL 2ª ELEIÇÃO MUNICIPAL 3ª ELEIÇÃO MUNICIPAL Coleta de 1 milhão Reelegemos o governador de Minas Gerais e 3 deputados federais, e elegemos 5 deputados estaduais Elegemos o governador de Minas Gerais, 8 deputados federais e 12 estaduais Elegemos prefeito Elegemos 19 prefeitos e 262 vereadores Participamos em 5 capitais e elegemos de assinaturas em Joinville e 28 vereadores 4 vereadores Definição do programa partidário e do estatuto Formação de líderes NOSSOS REPRESENTANTES NOVO NO CONGRESSO NACIONAL DEPUTADOS FEDERAIS ADRIANA VENTURA MARCEL VAN HATTEM GILSON MARQUES LUIZ LIMA 6 DEPUTADOS ESTADUAIS DEPUTADOS ESTADUAIS FELIPE CAMOZZATO LEO SIQUEIRA MATHEUS CADORIN DR.",propósito melhorar forma duradouro qualidade vida grande número pessoa rápido possível premissa 1 ninguém bom pra administrar próprio vida 2 nada estado fornecer gratuito 3 existir salvador pátria princípio valor instituição princípio valor inegociável 1 livre mercado direito propriedade 2 liberdade individual respeito próximo estado leve eficiente serviço pessoa 4 combate corrupção privilégio 5 império lei democracia 3 oportunidade alcance todo 6 novo instituição sócio filiar novo liderança novo prática novo postura diferencial ativo marcar produto mandato cliente cidadão brasileiro desviar princípio valor risco históriar novo criação registro partido tse fundação novo 17 novo diretório 2016 2018 2020 2022 2024 2011 2015 2017 1 eleição nacional 2 eleição nacional 1 eleição municipal 2 eleição municipal 3 eleição municipal coletar 1 milhão reelege governador mina geral 3 federal eleger 5 estadual eleger governador mina geral 8 federal 12 estadual eleger prefeito eleger 19 prefeito 262 vereador participar 5 capital eleger assinatura joinville 28 vereador 4 vereador definiçãor programa partidário estatuto formação líder representante novo congresso nacional federal adriano ventura marcel van hattem gilson marques luiz lima 6 estadual estadual felipe camozzato leo siqueira matheus cadorin dr,"[""propósito"", ""melhorar"", ""forma"", ""duradouro"", ""qualidade"", ""vida"", ""grande"", ""número"", ""pessoa"", ""rápido"", ""possível"", ""premissa"", ""1"", ""ninguém"", ""bom"", ""pra"", ""administrar"", ""próprio"", ""vida"", ""2"", ""nada"", ""estado"", ""fornecer"", ""gratuito"", ""3"", ""existir"", ""salvador"", ""pátria"", ""princípio"", ""valor"", ""instituição"", ""princípio"", ""valor"", ""inegociável"", ""1"", ""livre"", ""mercado"", ""direito"", ""propriedade"", ""2"", ""liberdade"", ""individual"", ""respeito"", ""próximo"", ""estado"", ""leve"", ""eficiente"", ""serviço"", ""pessoa"", ""4"", ""combate"", ""corrupção"", ""privilégio"", ""5"", ""império"", ""lei"", ""democracia"", ""3"", ""oportunidade"", ""alcance"", ""todo"", ""6"", ""novo"", ""instituição"", ""sócio"", ""filiar"", ""novo"", ""liderança"", ""novo"", ""prática"", ""novo"", ""postura"", ""diferencial"", ""ativo"", ""marcar"", ""produto"", ""mandato"", ""cliente"", ""cidadão"", ""brasileiro"", ""desviar"", ""princípio"", ""valor"", ""risco"", ""históriar"", ""novo"", ""criação"", ""registro"", ""partido"", ""tse"", ""fundação"", ""novo"", ""17"", ""novo"", ""diretório"", ""2016"", ""2018"", ""2020"", ""2022"", ""2024"", ""2011"", ""2015"", ""2017"", ""1"", ""eleição"", ""nacional"", ""2"", ""eleição"", ""nacional"", ""1"", ""eleição"", ""municipal"", ""2"", ""eleição"", ""municipal"", ""3"", ""eleição"", ""municipal"", ""coletar"", ""1"", ""milhão"", ""reelege"", ""governador"", ""mina"", ""geral"", ""3"", ""federal"", ""eleger"", ""5"", ""estadual"", ""eleger"", ""governador"", ""mina"", ""geral"", ""8"", ""federal"", ""12"", ""estadual"", ""eleger"", ""prefeito"", ""eleger"", ""19"", ""prefeito"", ""262"", ""vereador"", ""participar"", ""5"", ""capital"", ""eleger"", ""assinatura"", ""joinville"", ""28"", ""vereador"", ""4"", ""vereador"", ""definiçãor"", ""programa"", ""partidário"", ""estatuto"", ""formação"", ""líder"", ""representante"", ""novo"", ""congresso"", ""nacional"", ""federal"", ""adriano"", ""ventura"", ""marcel"", ""van"", ""hattem"", ""gilson"", ""marques"", ""luiz"", ""lima"", ""6"", ""estadual"", ""estadual"", ""felipe"", ""camozzato"", ""leo"", ""siqueira"", ""matheus"", ""cadorin"", ""dr""]"
2,"MAURÍCIO ZÉ LAVIOLA EMERSON JARUDE SENADOR CE RICARDO SALLES EDUARDO GIRÃO Reeleito (a) MINAS GERAIS ROMEU ZEMA Gestão reeleita no 1º turno em 2022 80% dos mineiros aprovam o NOVO governo Corte de privilégios, redução de 22 para 12 secretarias, diminuição de cargos comissionados e seleção por critérios técnicos Mais de 1 milhão de empregos gerados em Minas desde o início de mandato Mais de R$ 270 bilhões de investimentos privados atraídos para o estado até aqui Pela primeira vez desde 2012, Minas fechou as contas no azul Minas Gerais se tornou o estado mais seguro do Brasil em 2021 Regularizou o pagamento dos servidores e de dívidas bilionárias deixadas pela gestão anterior 2 4 41 NOSSOS MANDATÁRIOS PELO BRASIL 116 O NOVO DÁ O EXEMPLO E CORTA PRIVILÉGIOS E GASTOS DESNECESSÁRIOS O QUE O NOVO ACREDITA E você não precisa concordar com tudo!",maurício zé laviola emerson jarude senador ce ricardo salles eduardo gir reeleger mina geral romeu zema gestão reeleita 1 turno 2022 80 mineiro aprovar novo governo corte privilégio redução 22 12 secretaria diminuição cargo comissionar seleção critério técnico 1 milhão emprego gerar mina desde início mandato r 270 bilhão investimento privado atraír estado aqui primeira vez desde 2012 mina fechar conta azul mina geral tornar estado seguro brasil 2021 regularizar pagamento servidor dívida bilionário deixar gestão anterior 2 4 41 mandatário brasil 116 novo dar exemplo cortar privilégio gasto desnecessário novo acreditar precisar concordar tudo,"[""maurício"", ""zé"", ""laviola"", ""emerson"", ""jarude"", ""senador"", ""ce"", ""ricardo"", ""salles"", ""eduardo"", ""gir"", ""reeleger"", ""mina"", ""geral"", ""romeu"", ""zema"", ""gestão"", ""reeleita"", ""1"", ""turno"", ""2022"", ""80"", ""mineiro"", ""aprovar"", ""novo"", ""governo"", ""corte"", ""privilégio"", ""redução"", ""22"", ""12"", ""secretaria"", ""diminuição"", ""cargo"", ""comissionar"", ""seleção"", ""critério"", ""técnico"", ""1"", ""milhão"", ""emprego"", ""gerar"", ""mina"", ""desde"", ""início"", ""mandato"", ""r"", ""270"", ""bilhão"", ""investimento"", ""privado"", ""atraír"", ""estado"", ""aqui"", ""primeira"", ""vez"", ""desde"", ""2012"", ""mina"", ""fechar"", ""conta"", ""azul"", ""mina"", ""geral"", ""tornar"", ""estado"", ""seguro"", ""brasil"", ""2021"", ""regularizar"", ""pagamento"", ""servidor"", ""dívida"", ""bilionário"", ""deixar"", ""gestão"", ""anterior"", ""2"", ""4"", ""41"", ""mandatário"", ""brasil"", ""116"", ""novo"", ""dar"", ""exemplo"", ""cortar"", ""privilégio"", ""gasto"", ""desnecessário"", ""novo"", ""acreditar"", ""precisar"", ""concordar"", ""tudo""]"
3,"UM BRASIL SEGURO, SIMPLES E LIVRE, ONDE TODOS POSSAM CHEGAR LÁ Um Brasil com mais oportunidades e conectado ao mundo Liberdade para trabalhar e empreender Priorização da educação básica, desde a creche até o ensino médio Ampla abertura e integração à economia mundial Programas assistenciais como porta de saída da miséria e da pobreza Um Estado simples, leve e eficiente Equilíbrio das contas públicas Foco no essencial: educação, segurança e saúde Mais autonomia para estados e municípios Parcerias, concessões e privatização de todas as estatais Um sistema político verdadeiramente representativo Fim de dinheiro público para políticos e campanhas Voto facultativo e possibilidade de candidatura avulsa Voto distrital Combate incansável à corrupção e à impunidade ESTATÉGIA ELEITORAL NA POLÍTICA TRADICIONAL Pensamento na próxima eleição Quantidade acima de qualidade Busca por poder Puxador de voto NO NOVO Pensamento de longo prazo Qualidade acima de quantidade Consciência das responsabilidades Processo seletivo Vamos trabalhar juntos na construção do Brasil que merecemos?",brasil seguro simples livre onde todo poder chegar lá brasil oportunidade conectar mundo liberdade trabalhar empreender priorização educação básico desde creche ensino médio amplo abertura integração economia mundial programa assistencial porta saída misério pobreza simples leve eficiente equilíbrio conta público foco essencial educação seguranço saúde autonomiar município parceria concessão privatização todo estatal sistema político verdadeiramente representativo fim dinheiro público político campanha voto facultativo possibilidade candidatura avulso voto distrital combate incansável corrupção impunidade estatégia eleitoral política tradicional pensamento próximo eleição quantidade acima qualidade buscar poder puxador voto novo pensamento longo prazo qualidade acima quantidade consciênciar responsabilidade processo seletivo ir trabalhar junto construção brasil merecemos,"[""brasil"", ""seguro"", ""simples"", ""livre"", ""onde"", ""todo"", ""poder"", ""chegar"", ""lá"", ""brasil"", ""oportunidade"", ""conectar"", ""mundo"", ""liberdade"", ""trabalhar"", ""empreender"", ""priorização"", ""educação"", ""básico"", ""desde"", ""creche"", ""ensino"", ""médio"", ""amplo"", ""abertura"", ""integração"", ""economia"", ""mundial"", ""programa"", ""assistencial"", ""porta"", ""saída"", ""misério"", ""pobreza"", ""simples"", ""leve"", ""eficiente"", ""equilíbrio"", ""conta"", ""público"", ""foco"", ""essencial"", ""educação"", ""seguranço"", ""saúde"", ""autonomiar"", ""município"", ""parceria"", ""concessão"", ""privatização"", ""todo"", ""estatal"", ""sistema"", ""político"", ""verdadeiramente"", ""representativo"", ""fim"", ""dinheiro"", ""público"", ""político"", ""campanha"", ""voto"", ""facultativo"", ""possibilidade"", ""candidatura"", ""avulso"", ""voto"", ""distrital"", ""combate"", ""incansável"", ""corrupção"", ""impunidade"", ""estatégia"", ""eleitoral"", ""política"", ""tradicional"", ""pensamento"", ""próximo"", ""eleição"", ""quantidade"", ""acima"", ""qualidade"", ""buscar"", ""poder"", ""puxador"", ""voto"", ""novo"", ""pensamento"", ""longo"", ""prazo"", ""qualidade"", ""acima"", ""quantidade"", ""consciênciar"", ""responsabilidade"", ""processo"", ""seletivo"", ""ir"", ""trabalhar"", ""junto"", ""construção"", ""brasil"", ""merecemos""]"
4,CONVIDE SEUS AMIGOS PARA SE FILIAREM AO NOVO! novo.org.br/filie COMO AJUDAR O NOVO Filie-se Doe novo.org.br/filie novo.org.br/doe Participe e organize eventos novo.org.br/eventos /novo30 @partidonovo30 /partidonovo30 Acompanhe e divulgue o NOVO #UseNOVO loja.novo.org.br Participe do diretório local novo.org.br/diretorios Não existe salvador da pátria. PRECISAMOS SAIR DA INDIGNAÇÃO PARA A AÇÃO OBRIGADO!,convidar amigo filiar novo novo org br filie ajudar novo filie doe novo org br filie novo org br doe participe organizar evento novo org br evento acompanhar divulguar novo usenovo loja novo org br participe diretório local novo org br diretorios existir salvador pátria precisar sair indignação ação obrigar,"[""convidar"", ""amigo"", ""filiar"", ""novo"", ""novo"", ""org"", ""br"", ""filie"", ""ajudar"", ""novo"", ""filie"", ""doe"", ""novo"", ""org"", ""br"", ""filie"", ""novo"", ""org"", ""br"", ""doe"", ""participe"", ""organizar"", ""evento"", ""novo"", ""org"", ""br"", ""evento"", ""acompanhar"", ""divulguar"", ""novo"", ""usenovo"", ""loja"", ""novo"", ""org"", ""br"", ""participe"", ""diretório"", ""local"", ""novo"", ""org"", ""br"", ""diretorios"", ""existir"", ""salvador"", ""pátria"", ""precisar"", ""sair"", ""indignação"", ""ação"", ""obrigar""]"
