topic,terms
0,"0.024*""novo"" + 0.016*""eleição"" + 0.014*""eleger"" + 0.014*""1"" + 0.011*""3"" + 0.011*""2"" + 0.011*""estadual"" + 0.009*""brasil"" + 0.009*""voto"" + 0.009*""todo"""
1,"0.050*""novo"" + 0.026*""org"" + 0.026*""br"" + 0.017*""mina"" + 0.013*""filie"" + 0.009*""brasil"" + 0.009*""desde"" + 0.009*""1"" + 0.009*""estado"" + 0.009*""privilégio"""
2,"0.010*""novo"" + 0.010*""estado"" + 0.010*""partido"" + 0.010*""serviço"" + 0.010*""2011"" + 0.010*""indignação"" + 0.010*""sair"" + 0.010*""público"" + 0.010*""político"" + 0.010*""burocrático"""
