topic,terms,terms_clean,embedding
0,"0.010*""todo"" + 0.007*""novo"" + 0.007*""ver"" + 0.007*""país"" + 0.007*""dar"" + 0.006*""projeto"" + 0.006*""outro"" + 0.006*""aprovar"" + 0.006*""hoje"" + 0.006*""votar""",todo novo ver país dar projeto outro aprovar hoje votar,"[-0.020102759823203087, 0.03824695944786072, -0.0642460435628891, -0.05534001439809799, 0.0745401382446289, 0.05693037435412407, 0.0013920188648626208, -0.06287743896245956, 0.018785396590828896, 0.0811646431684494, -0.010310886427760124, 0.0865483507514, 0.002807611832395196, 0.03383832052350044, -0.052363086491823196, -0.03927965462207794, -0.024942658841609955, -0.03430410102009773, 0.000746345438528806, 0.019734561443328857, 0.01815800555050373, 0.030549881979823112, -0.03702056407928467, 0.05048500373959541, 0.09526793658733368, -0.04222332313656807, 0.03252974525094032, -0.01575852744281292, -0.021926257759332657, -0.14027579128742218, 0.008283358067274094, 0.03609301522374153, 0.015181179158389568, 0.048826079815626144, 0.016920065507292747, -0.055453091859817505, 0.07933153957128525, -0.04844188690185547, 0.020919807255268097, 0.00814117956906557, -0.05301700904965401, -0.07603500783443451, 0.0007510550785809755, -0.004289169330149889, -0.005708660930395126, -0.025182731449604034, -0.00402854336425662, 0.06619091331958771, 0.004910594783723354, 0.03188610076904297, 0.08432316035032272, -0.04823285713791847, -0.10625377297401428, -0.042940277606248856, 0.10872677713632584, -0.06429795175790787, 0.01165750902146101, 0.01638665609061718, 0.0005869226297363639, -0.03868421912193298, -0.05847703665494919, -0.0401606522500515, -0.03639820218086243, 0.06782376766204834, -0.0361531563103199, -0.0026419779751449823, -0.0021368719171732664, -0.06303039193153381, -0.09964938461780548, -0.04058384150266647, 0.018195949494838715, 0.004512179177254438, 0.0653545930981636, -0.05640099570155144, -0.012509308755397797, -0.0676652118563652, -0.017388775944709778, 0.09581808000802994, 0.012614277191460133, -0.011111672036349773, -0.020351963117718697, 0.11295463889837265, -0.006468441337347031, -0.05563271790742874, 0.11860211938619614, 0.03983518108725548, -0.01804957166314125, 0.08647709339857101, 0.03856109827756882, -0.11149562895298004, -0.0573313869535923, 0.03913135081529617, 0.12380455434322357, 0.04492073878645897, 0.02001834660768509, -0.01918533258140087, 0.04581557214260101, 0.008254790678620338, 0.0050902836956083775, 0.08565758913755417, -0.07926378399133682, -0.01920703612267971, -0.07138735055923462, -0.08950693905353546, 0.037046678364276886, 0.05042204633355141, -0.03703613579273224, -0.018538909032940865, 0.006610790267586708, -0.014289970509707928, -0.009452548809349537, -0.015026809647679329, -0.02818227931857109, -0.009933424182236195, -0.017255427315831184, -0.016287295147776604, -0.0018485196633264422, -0.07245390117168427, 0.03154100850224495, 0.009525589644908905, -0.015276060439646244, -0.0556441955268383, -0.09203801304101944, -0.08027065545320511, 0.0842607393860817, 0.021597497165203094, 0.009342699311673641, -0.003460933454334736, 0.02292298525571823, -0.0024758675135672092, -0.02336219698190689, 0.05559990182518959, -0.03160596266388893, 0.017638705670833588, 0.018832596018910408, -0.05669211596250534, -0.06017588451504707, -0.010918192565441132, -0.0008305980009026825, 0.012868407182395458, 0.048463720828294754, 0.1347484141588211, -0.004074496682733297, 0.032016120851039886, -0.06100209057331085, -0.009906894527375698, 0.008753172121942043, 0.06660983711481094, 0.010061776265501976, 0.12611515820026398, 0.0757630467414856, -0.005119983106851578, 0.0002432485925965011, -0.01437599677592516, 0.0081394724547863, 0.010189195163547993, 0.024189451709389687, 0.028235744684934616, 0.07028127461671829, -0.02320212312042713, -0.00802811048924923, 0.08357454091310501, -0.11459054052829742, -0.007466639392077923, 0.015195740386843681, -0.01991860568523407, -0.02664612978696823, 0.01018585730344057, 0.07055680453777313, -0.01528668962419033, -0.029258761554956436, 0.024575037881731987, -0.03265247866511345, 0.04551452770829201, 0.0888446718454361, -0.024060916155576706, 0.03493376448750496, -0.0117111224681139, 0.0029421767685562372, 0.041857942938804626, 0.008255945518612862, -0.024022534489631653, -0.007652299012988806, -0.06998474150896072, -0.10622209310531616, -0.03422531485557556, 0.012184344232082367, -0.07825914770364761, -0.011258036829531193, -0.04596981406211853, 0.028539199382066727, 0.023744089528918266, -0.028198931366205215, 0.0680435374379158, -0.06940627098083496, -0.04658586531877518, -0.016260288655757904, 0.003240005811676383, 0.10243058204650879, -0.027765437960624695, -0.09336748719215393, 0.019690033048391342, -0.031461648643016815, 0.04779982194304466, 0.09357762336730957, -0.047692786902189255, 0.05723610520362854, -0.06922241300344467, -0.00596294179558754, 0.00815013237297535, 0.011294865980744362, 0.026856031268835068, 0.022309059277176857, -0.006749243475496769, -0.03702874481678009, -0.0018035481916740537, 0.004254127386957407, 0.025384685024619102, -0.1368747502565384, -0.03270820528268814, 0.06675326079130173, -0.044720299541950226, 0.11087822914123535, -0.02558824047446251, -0.06506627798080444, 0.017938697710633278, -0.09051753580570221, 0.05266670510172844, 0.03412725031375885, 0.009076007641851902, -0.008030093275010586, -0.06970206648111343, -0.03335719183087349, 0.023318002000451088, 0.011896554380655289, -0.08199340850114822, 0.048588626086711884, 0.11785821616649628, 0.02465897798538208, -0.005047278944402933, 0.011433177627623081, -0.03040609322488308, 0.030045190826058388, -0.02091089077293873, 0.03974049910902977, 0.11311175674200058, -0.04925186559557915, 0.04630396515130997, -0.03984541818499565, 0.0003667895798571408, 0.028078235685825348, -0.057761430740356445, 0.07440612465143204, -0.06458568572998047, -0.018189970403909683, -0.07296326011419296, -0.06500719487667084, 0.06156701222062111, 0.07216176390647888, 0.04642327129840851, 0.012256033718585968, -0.06043148413300514, -0.07467921078205109, 0.02740779146552086, -0.027925144881010056, -0.049749162048101425, -0.03158207982778549, 0.0669548287987709, -0.08258815854787827, 0.00521629536524415, -0.029369361698627472, 0.047582920640707016, -0.0494806282222271, 0.01014664489775896, -0.02708611637353897, 0.00929866824299097, 0.042011767625808716, 0.020200010389089584, 0.019902216270565987, 0.0577501580119133, -0.024255353957414627, 0.06795339286327362, 0.02504129335284233, 0.041662126779556274, -0.03273120895028114, -0.021011965349316597, 0.0680297464132309, -0.005544064100831747, 0.02060401812195778, 0.04123565927147865, -0.04916517436504364, 0.045439887791872025, 0.0906195417046547, 0.006701508071273565, -0.026024747639894485, -0.05460432171821594, -0.1641215682029724, 0.057069577276706696, 0.13648293912410736, 0.05093903839588165, 0.03782082721590996, 0.07363872975111008, -0.009071245789527893, 0.026537708938121796, -0.007477090694010258, -0.01987626776099205, 0.04387887194752693, 0.018642034381628036, 0.006207176949828863, -0.03832356631755829, 0.11092570424079895, -0.03961816430091858, 0.024255117401480675, 0.09498103708028793, -0.014585824683308601, 0.05332361161708832, 0.04649181663990021, -0.02005116641521454, 0.012371801771223545, -0.05847522243857384, 0.04242851212620735, 0.0276121124625206, -0.08248025923967361, 0.0004691942594945431, 0.01952221803367138, -0.0051352777518332005, 0.03753150627017021, -0.02587834745645523, -0.058633994311094284, -0.026041246950626373, 0.0636972114443779, -0.01600494608283043, 0.06606946140527725, -0.06970338523387909, 0.0046282922849059105, 0.0361410491168499, -0.10871195793151855, 0.026227563619613647, -0.04810313135385513, 0.009006285108625889, -0.00011739565525203943, 0.005254858639091253, 0.026895491406321526, -0.06573688238859177, -0.009554222226142883, 0.012910322286188602, -0.1044028177857399, 0.03624170646071434, -0.037999462336301804, -0.03465379774570465, -0.025162052363157272, 0.006034142337739468, -0.10042473673820496, -0.08347047865390778, -0.010786726139485836, -0.018031982704997063, -0.10525214672088623, 0.015862779691815376, 0.058883365243673325, -0.03977645933628082, 0.02892271988093853, 0.02559726871550083, 0.012151490896940231, 0.0268102940171957, 0.02199696935713291, -0.08113199472427368, 0.007579094264656305, -0.055884070694446564, 0.02084534615278244, 0.012329560704529285, -0.042587947100400925, -0.03316636383533478, 0.01632946915924549, 0.011245575733482838, 0.09707442671060562, -0.01688145287334919, -0.056040506809949875, 6.650356954196468e-05, -0.05732471123337746, 0.03201281651854515, -0.03226110339164734, 0.024079103022813797, 0.0007827114313840866, 0.05418753623962402]"
1,"0.009*""todo"" + 0.005*""novo"" + 0.005*""pessoa"" + 0.005*""importante"" + 0.005*""brasil"" + 0.005*""medida"" + 0.005*""grande"" + 0.005*""defender"" + 0.005*""direito"" + 0.004*""tributário""",todo novo pessoa importante brasil medida grande defender direito tributário,"[-0.03197340667247772, 0.06305879354476929, -0.07891646027565002, -0.016378875821828842, 0.03123869188129902, 0.06689085811376572, 0.08912542462348938, 0.08865956217050552, 0.02905980311334133, 0.038817327469587326, 0.0762661024928093, -0.08110620826482773, -0.057111699134111404, 0.04958604648709297, -0.022759469226002693, 0.008669468574225903, -0.025066163390874863, 0.016335565596818924, -0.03798016160726547, -0.0175530556589365, 0.06790441274642944, -0.0367157869040966, -0.12156279385089874, 0.04419161006808281, -0.02730526402592659, 0.013256157748401165, -0.006652585230767727, -0.03721071407198906, 0.055236656218767166, -0.0651240274310112, 0.05850319191813469, -0.04935983940958977, 0.08444119244813919, 0.026660578325390816, -0.00545231718569994, -0.07427901774644852, 0.06374997645616531, -0.011325678788125515, 0.08002834767103195, 0.02266443520784378, -0.011659977957606316, -0.06313136965036392, -0.04104354977607727, 0.02284310571849346, -0.009382082149386406, -0.06402353942394257, 0.11335264146327972, 0.02830769121646881, -0.041269801557064056, 0.021286912262439728, 0.01873583160340786, -0.059461355209350586, -0.011756710708141327, -0.005793026648461819, -0.020463034510612488, -0.06789946556091309, 0.043384842574596405, -0.021378377452492714, 0.04406523331999779, -0.025995053350925446, -0.047711096704006195, 0.056189682334661484, -0.04415196180343628, -0.006109846290200949, -0.10215514898300171, -0.04998059943318367, -0.0013639909448102117, 0.04924553632736206, -0.04541056230664253, 0.08068773150444031, -0.006755548529326916, -0.03891853243112564, 0.08233616501092911, 0.052078455686569214, 0.018997643142938614, -0.008135802112519741, 0.0031515667214989662, 0.08811372518539429, 0.02924908883869648, -0.017829980701208115, 0.05023542419075966, -0.03175336495041847, -0.07436049729585648, -0.05206425115466118, 0.04648906737565994, -0.024987975135445595, 0.07259653508663177, -0.0051473593339324, 0.081516794860363, -0.0889705941081047, 0.009360109455883503, 0.05129864066839218, 0.14136464893817902, 0.039975497871637344, 0.039642609655857086, -0.053434163331985474, 0.010699708014726639, 0.04171699658036232, -0.0359792597591877, 0.029013823717832565, -0.014012295752763748, 0.08973396569490433, -0.007867262698709965, -0.027878589928150177, -0.05256934463977814, 0.018484991043806076, -0.04027716442942619, 0.021367797628045082, 0.0007240611594170332, -0.0279401745647192, -0.01130735408514738, -0.059387292712926865, -0.10619863122701645, 0.004581501707434654, 0.0628364309668541, -0.012498351745307446, -0.004924502689391375, -0.07424071431159973, 0.008622116409242153, -0.0030053076334297657, 0.04017341136932373, -0.0965723916888237, -0.05950179696083069, -0.03413044288754463, 0.05229945480823517, 0.055829860270023346, 0.02659246139228344, 0.013178708031773567, 0.0207783542573452, 0.08002676069736481, -0.000781737151555717, -0.043025147169828415, -0.07112470269203186, 0.04059438034892082, -0.05695094168186188, 0.01469588652253151, -0.056751083582639694, -0.027896614745259285, -0.05785384774208069, 0.017284005880355835, -0.013838599435985088, 0.06564373522996902, 0.020332077518105507, 0.0913119986653328, -0.039604369550943375, -0.02315625362098217, 0.03435670584440231, -0.021676696836948395, 0.11006533354520798, 0.06359440088272095, -0.04765454679727554, -0.015947720035910606, 0.040178366005420685, 0.025300225242972374, 0.08755221962928772, -0.14297474920749664, 0.10055434703826904, 0.03405493125319481, -0.005769251845777035, -0.007716136984527111, -0.006930456031113863, 0.05096035450696945, -0.11241531372070312, 0.08426832407712936, 0.05967426672577858, -0.03318817913532257, -0.033445704728364944, 0.028180107474327087, -0.0347289964556694, 0.009058956056833267, 0.06713587045669556, 0.009097474627196789, -0.0880979672074318, 0.046674925833940506, 0.05681614950299263, -0.026909928768873215, -0.030316142365336418, 0.006342332810163498, -0.09529192000627518, -0.0968819111585617, -0.015569102019071579, -0.0175931379199028, -0.05277631804347038, -0.016967473551630974, -0.1477617770433426, 0.054526183754205704, -0.061969369649887085, -0.03356543555855751, 0.015416231006383896, -0.06093433499336243, -0.026072198525071144, 0.10432587563991547, -0.03806307539343834, 0.0022059509065002203, 0.07316765189170837, -0.07752736657857895, 0.023488076403737068, -0.006548475008457899, -0.00798628106713295, 0.025611333549022675, -0.11784034967422485, -0.060263875871896744, -0.07825109362602234, -0.051117848604917526, 0.07244495302438736, -0.02156190015375614, -0.022682970389723778, 0.0462929792702198, -0.05463513731956482, 0.04590011388063431, 0.0491386316716671, -0.0041600181721150875, 0.046465497463941574, -0.03671270236372948, 0.03690207749605179, 0.01273445412516594, -0.012994173914194107, 0.010130828246474266, -0.06513003259897232, 0.022040128707885742, 0.023865140974521637, 0.0600520521402359, 0.037301141768693924, -0.034525465220212936, 0.004672254901379347, -0.021551385521888733, 0.05734828859567642, 0.09814928472042084, 0.012305689044296741, -0.005662398878484964, -0.047669701278209686, -0.01429396029561758, -0.043985944241285324, -0.037155624479055405, -0.12333153933286667, -0.08617021143436432, 0.11687719821929932, 0.002733180532231927, -0.04433233290910721, -0.08173677325248718, -0.006972542963922024, 0.0011984254233539104, -0.004364711232483387, -0.02054092474281788, -0.02373654767870903, 0.07516501843929291, 0.013561583124101162, 0.10473637282848358, -0.06493343412876129, 0.04217688739299774, 0.03428386151790619, -0.11151307076215744, 0.029863592237234116, -0.027621107175946236, -0.010061255656182766, 0.01674368605017662, -0.058903422206640244, -0.04326893389225006, -0.025362299755215645, -0.01032655406743288, -0.022040273994207382, -0.018285023048520088, -0.01302195806056261, 0.1794736683368683, -0.033579036593437195, 0.0077966260723769665, 0.017093060538172722, 0.03277978673577309, -0.042881838977336884, -0.016011415049433708, 0.046566493809223175, -0.012375806458294392, -0.018050391227006912, 0.050446346402168274, 0.03553229942917824, -0.067874975502491, -0.04015304148197174, 0.06377442181110382, -0.07790578901767731, 0.023611867800354958, 0.06739255040884018, 0.03841550275683403, -0.0718967393040657, 0.03335719555616379, -0.03825414925813675, 0.06076587364077568, -0.013296166434884071, 0.02719835378229618, -0.040719494223594666, 0.015978656709194183, 0.010667193681001663, 0.05887015536427498, 0.08338895440101624, 0.0035223024897277355, 0.025792330503463745, -0.08807002753019333, -0.0858224630355835, 0.08164475858211517, 0.04275408014655113, -0.050704967230558395, -0.030329260975122452, -0.036087144166231155, 0.010061724111437798, 0.0029670887161046267, 0.035363372415304184, 0.026220174506306648, 0.030896009877324104, 0.023314684629440308, 0.038440924137830734, 0.06528174877166748, 0.03197203949093819, -0.06407800316810608, 0.05595651641488075, -0.00040341707062907517, 0.03566234931349754, -0.002192428568378091, -0.017791947349905968, -0.07825928926467896, 0.0020299514289945364, -0.03135552257299423, 0.00977021362632513, 0.075081467628479, 0.008776100352406502, 0.05568309500813484, -0.014046153984963894, -0.011281422339379787, -0.026308264583349228, -0.039319586008787155, -0.0406661219894886, -0.01685374416410923, 0.031813379377126694, -0.011187846772372723, 0.010096092708408833, -0.06946215778589249, 0.033148299902677536, -0.021571600809693336, -0.012234658002853394, 0.05702808499336243, 0.0013134002219885588, 0.011447962373495102, -0.019712822511792183, 0.02295512519776821, -0.041687361896038055, -0.05872102826833725, 0.025266095995903015, 0.03626767918467522, -0.05296790227293968, -0.02309386432170868, -0.02382936328649521, -0.036507077515125275, 0.010440093465149403, 0.034610193222761154, -0.022128328680992126, -0.0641154795885086, -0.04797216132283211, -0.006646026857197285, 0.0007045567617751658, 0.02307502180337906, 0.0012073263060301542, -0.035667818039655685, 0.011488010175526142, 0.01437899935990572, 0.012060064822435379, 0.005583728663623333, -0.016509735956788063, -0.042103637009859085, -0.0014341742498800159, -0.03171009570360184, 0.01632853038609028, -0.019886240363121033, -0.03938072919845581, -0.02777145616710186, 0.08543547987937927, 0.02155809849500656, 0.048401810228824615, -0.042405687272548676, -0.008147801272571087, 0.01755111664533615, -0.030552959069609642, 0.022088930010795593, 0.17085126042366028, -0.05702906474471092, 0.005671679973602295, 0.08637020736932755]"
2,"0.010*""pec"" + 0.009*""todo"" + 0.007*""dar"" + 0.007*""novo"" + 0.006*""dinheiro"" + 0.006*""outro"" + 0.006*""brasil"" + 0.006*""público"" + 0.006*""votar"" + 0.005*""eleitoral""",pec todo dar novo dinheiro outro brasil público votar eleitoral,"[-0.02052868902683258, 0.0016405966598540545, -0.07149204611778259, -0.011819839477539062, 0.05380614474415779, 0.027281954884529114, 0.04967762529850006, 0.035043321549892426, 0.08392849564552307, 0.0352887399494648, 0.0353616327047348, -0.021563395857810974, -0.04996388405561447, 0.038509856909513474, 0.010178150609135628, -0.05775391310453415, -0.018939806148409843, -0.02228967286646366, 0.0007218462415039539, 0.04320443421602249, 0.09010515362024307, -0.04517342150211334, -0.10011488199234009, 0.05368547514081001, 0.06742116808891296, 0.02532155252993107, 0.04371163621544838, 0.00021213444415479898, 0.0020870252046734095, -0.058890316635370255, 0.13130927085876465, -0.006959967315196991, 0.05731057748198509, -0.025334561243653297, 0.05270319804549217, -0.06578971445560455, 0.07516975700855255, -0.07793755829334259, 0.027126792818307877, 0.044977542012929916, -0.07440350949764252, -0.06851115822792053, -0.031061876565217972, -0.029513873159885406, 0.004001442342996597, -0.04382006824016571, 0.08796216547489166, 0.06597904115915298, -0.022676793858408928, 0.060462500900030136, 0.08875703811645508, 0.004894791636615992, -0.10991806536912918, -0.023519063368439674, -0.024996601045131683, -0.04691336676478386, 0.040519196540117264, 0.031419552862644196, 0.03022087924182415, -0.01763598807156086, 0.011367551982402802, 0.07794643938541412, 0.004818873014301062, 0.0368444100022316, -0.10492733865976334, -0.05256745219230652, -0.0011520648840814829, 0.0061690183356404305, -0.06749783456325531, 0.027363013476133347, 0.06469891220331192, -0.0605609230697155, 0.11281225085258484, -0.01295167114585638, 0.07047741860151291, 0.028643948957324028, -0.028791457414627075, 0.030753575265407562, 0.05562926083803177, 0.006218916270881891, 0.01755966618657112, 0.01643833890557289, -0.07895108312368393, -0.09031672775745392, 0.061151888221502304, -0.022650688886642456, 0.11365464329719543, 0.04128510132431984, 0.06593576818704605, -0.14605273306369781, 0.033508434891700745, 0.0894773080945015, 0.12963204085826874, 0.05388928949832916, 0.004053895361721516, -0.044704850763082504, -0.009872876107692719, 0.08416025340557098, 0.015320014208555222, 0.02756921388208866, -0.08032512664794922, 0.039858803153038025, -0.03420906886458397, -0.05088841915130615, 0.013993266969919205, -0.009426417760550976, -0.0641765370965004, -0.02947719395160675, 0.025457430630922318, 0.006724746432155371, -0.053698573261499405, -0.041005492210388184, -0.04438416659832001, 0.06540486961603165, -0.01953454501926899, -0.02661011554300785, -0.013077878393232822, -0.08316670358181, 0.0022064088843762875, 0.08337564021348953, -0.0004419199249241501, -0.11241017282009125, -0.06270495057106018, -0.05527815967798233, 0.028859581798315048, 0.014472427777945995, 0.008717031218111515, -0.0002638566948007792, 0.014855039305984974, -0.015454528853297234, -0.011753209866583347, -0.02217450737953186, -0.07766779512166977, 0.06154322624206543, -0.06730297952890396, -0.057520922273397446, -0.06173677742481232, 0.015813279896974564, -0.01611245796084404, 0.04169239103794098, -0.028931625187397003, 0.07353103160858154, 0.027431419119238853, 0.09276831895112991, -0.07913660258054733, -0.01615046337246895, 0.06301005184650421, -0.014873543754220009, 0.046271320432424545, 0.0799548476934433, -0.03190728276968002, 0.0011385673424229026, 0.04923250898718834, 0.04228576645255089, 0.05305134877562523, -0.0865548700094223, 0.04965610057115555, 0.04927320033311844, -0.029268404468894005, -0.04744647070765495, 0.029067344963550568, 0.017768006771802902, -0.15898409485816956, 0.014809038490056992, 0.06838972121477127, -0.034247372299432755, -0.06302199512720108, 0.04279119521379471, 0.018028222024440765, -0.001507396693341434, 0.03918759152293205, 0.0572601743042469, -0.07329291850328445, 0.040948595851659775, 0.06020466610789299, -0.026199020445346832, -0.03863203898072243, -0.02063184417784214, -0.06721872091293335, -0.05911598354578018, -0.019599549472332, 0.014583008363842964, -0.027715805917978287, -0.03281145170331001, -0.1405411958694458, -0.02115681581199169, -0.029825767502188683, -0.11234614253044128, -0.02622685395181179, -0.06420788913965225, 0.02698565274477005, 0.05335076525807381, -0.004792032763361931, 0.06595489382743835, 0.024781426414847374, -0.06009690836071968, 0.012104649096727371, 0.013228202238678932, 0.010227207094430923, -0.012128709815442562, -0.07268404960632324, -0.02877042628824711, -0.11248812079429626, -0.09713872522115707, 0.0704796090722084, 0.02765185572206974, -0.01323870662599802, 0.01619468815624714, 0.013541840016841888, 0.01795557327568531, 0.0763217881321907, 0.030742863193154335, 0.04933313652873039, 0.005067409481853247, 0.00971706211566925, -0.00599043071269989, 0.0014047326985746622, 0.06074995920062065, -0.055977482348680496, -0.008281625807285309, 0.015212059952318668, -0.00809436570852995, 0.008644974790513515, -0.013043907471001148, -0.09269525855779648, -0.011943764984607697, 0.02447609417140484, 0.06759482622146606, -0.001489257556386292, 0.04932966083288193, -0.03572637587785721, -0.04083654284477234, -0.011550841853022575, -0.033103808760643005, -0.11590857058763504, -0.10089287906885147, 0.1578349471092224, 0.006347282789647579, -0.007676874753087759, -0.05082087218761444, 0.029204661026597023, 0.021041078492999077, 0.005667136982083321, -0.01030957791954279, -0.02184981480240822, 0.09961200505495071, -0.023129884153604507, 0.07859145849943161, -0.03460453823208809, -0.02276882342994213, -0.017483239993453026, -0.059845712035894394, 0.01187817007303238, 0.001201712409965694, -0.009995990432798862, -0.03560309112071991, -0.03280407935380936, -0.009109471924602985, 0.0496000200510025, 0.04053376615047455, 0.02462872304022312, -0.016140736639499664, -0.04689532518386841, 0.11068949848413467, -0.028976641595363617, -0.030882233753800392, -0.011644203215837479, -0.01032241340726614, -0.03466125577688217, -0.020657535642385483, -0.02086196094751358, -0.039797212928533554, 0.002126015955582261, 0.019420137628912926, 0.04455902427434921, -0.02523857355117798, -0.0469764769077301, 0.11114196479320526, -0.06689191609621048, 0.03511324152350426, 0.030107645317912102, 0.03855561092495918, -0.040926653891801834, 0.06261371076107025, -0.01435631699860096, 0.04387475177645683, 0.017890101298689842, 0.006237575318664312, -0.018518999218940735, 0.03960978239774704, -0.07819995284080505, 0.00031972621218301356, 0.09207382798194885, 0.008185168728232384, 0.046802736818790436, -0.07997710257768631, -0.08527878671884537, 0.09519709646701813, 0.09190838783979416, 0.03716355189681053, -0.04067366197705269, 0.05872466415166855, 0.04889979213476181, 0.003506337758153677, -0.00971203949302435, -0.006393095478415489, 0.05204404518008232, 0.015681711956858635, 0.06971553713083267, 0.01118993666023016, 0.05106212571263313, -0.025835856795310974, -0.022353345528244972, 0.04662826284766197, 0.050168726593256, 0.019292745739221573, 0.08699718862771988, -0.02973131835460663, -0.022792520001530647, -0.044549234211444855, 0.013919999822974205, -0.007845903746783733, 0.07422828674316406, 0.027515709400177002, 0.0003433029050938785, -0.04495628550648689, -0.0077424608170986176, -0.02090095356106758, -0.002075014403089881, -0.013338666409254074, 0.049930982291698456, -0.04806120693683624, -0.011061662808060646, -0.04854719340801239, -0.01701519265770912, -0.002118339529260993, -0.043425824493169785, 0.05089223012328148, -0.024801675230264664, -0.009956271387636662, -0.04162655770778656, 0.030740465968847275, -0.016629312187433243, -0.09039263427257538, 0.04384118691086769, 0.006631635595113039, -0.03358156234025955, 0.05984526127576828, -0.04796164855360985, -0.031796276569366455, -0.07145154476165771, -0.02420700341463089, -0.03592807054519653, -0.06636308133602142, -0.05643671378493309, -0.003729897318407893, -0.003962636459618807, 0.023966874927282333, 0.024380583316087723, -0.03305120766162872, 0.10495277494192123, -0.05228349566459656, -0.0007563174585811794, -0.03822372853755951, -0.0076600355096161366, -0.007171963807195425, -0.010690062306821346, -0.006034566089510918, 0.03422912582755089, 0.014275975525379181, -0.029075846076011658, -0.051331017166376114, 0.003046959638595581, 0.009963713586330414, 0.06567934900522232, -0.12820114195346832, -0.022586476057767868, 0.0631074458360672, -0.012766354717314243, 0.046601854264736176, 0.01286655105650425, -0.04554438963532448, -0.0037064345087856054, 0.06431426852941513]"
