topic,terms
0,"0.013*""e"" + 0.012*""de"" + 0.006*""ulysses"" + 0.005*""mais"" + 0.005*""guimaraes"" + 0.005*""fundacao"" + 0.005*""mdb"" + 0.004*""por"" + 0.004*""esse"" + 0.003*""na"""
1,"0.063*""e"" + 0.062*""de"" + 0.036*""a"" + 0.024*""o"" + 0.021*""da"" + 0.018*""do"" + 0.014*""para"" + 0.013*""com"" + 0.012*""em"" + 0.011*""que"""
2,"0.060*""de"" + 0.053*""e"" + 0.034*""a"" + 0.018*""o"" + 0.016*""para"" + 0.016*""com"" + 0.015*""da"" + 0.014*""em"" + 0.013*""do"" + 0.010*""que"""
3,"0.043*""nossa"" + 0.043*""pais"" + 0.043*""causa"" + 0.042*""nosso"" + 0.011*""milhoes"" + 0.007*""ulysses"" + 0.007*""guimaraes"" + 0.006*""fundacao"" + 0.006*""mdb"" + 0.006*""5"""
4,"0.038*""e"" + 0.034*""de"" + 0.024*""a"" + 0.023*""do"" + 0.019*""o"" + 0.014*""para"" + 0.011*""que"" + 0.010*""regional"" + 0.010*""da"" + 0.010*""em"""
5,"0.041*""o"" + 0.035*""de"" + 0.026*""e"" + 0.023*""brasil"" + 0.017*""da"" + 0.016*""a"" + 0.015*""para"" + 0.011*""do"" + 0.010*""mdb"" + 0.008*""guimaraes"""
6,"0.027*""com"" + 0.019*""encontro"" + 0.019*""virtual"" + 0.009*""de"" + 0.008*""e"" + 0.006*""08"" + 0.005*""07"" + 0.005*""04"" + 0.004*""nao"" + 0.004*""05"""
