doc_id,topic,probability
0,0,0.000483309559058398
0,1,0.0001522781967651099
0,2,0.0008360132342204452
0,3,0.9985283613204956
1,0,0.9997547268867493
1,1,2.0779396436410025e-05
1,2,0.00011407968850107864
1,3,0.00011043332779081538
2,0,0.00011849838483612984
2,1,3.7335743400035426e-05
2,2,0.9996457099914551
2,3,0.00019842300389427692
3,0,0.00010793700494104996
3,1,3.400812784093432e-05
3,2,0.999677300453186
3,3,0.00018073820683639497
4,0,0.00025657317019067705
4,1,8.083949069259688e-05
4,2,0.00044381196494214237
4,3,0.9992188215255737
