source_id,chunk_id,chunk_text,embedding
APRESENTACAO_PARTIDO_NOVO-2025-v2-1_tokens.txt,0,2011 pequeno grupo perceber preciso sair indignação ação diagnóstico imposto alto péssimo serviço público estado inchar burocrático modelo econômico insustentável partido político desacreditar surgia novo,"[-0.057901132851839066, -0.0018385443836450577, -0.024260396137833595, -0.03170105814933777, 0.0812564343214035, 0.049053531140089035, -0.025657761842012405, 0.028329849243164062, 0.02180647663772106, 0.031731415539979935, 0.03170201927423477, 0.06383009999990463, 0.0510745495557785, -0.027380643412470818, 0.006405153777450323, -0.06985233724117279, -0.020030803978443146, -0.04173465073108673, -0.010069027543067932, 0.11631684750318527, -0.0048633841797709465, -0.06508505344390869, 0.00858326256275177, 0.029270581901073456, 0.08898061513900757, -0.008899809792637825, 0.029260190203785896, -0.08567795902490616, -0.06669114530086517, -0.0874774158000946, 0.021970903500914574, -0.0357547253370285, 0.0740545243024826, 0.05258730798959732, 0.10126082599163055, -0.06590797752141953, 0.10365254431962967, 0.011870007030665874, 0.0554700642824173, 0.07954835891723633, 0.002762341406196356, -0.07541753351688385, -0.06913553923368454, 0.019206497818231583, -0.06253159046173096, -0.07482114434242249, 0.00047510393778793514, 0.007839442230761051, -0.1444494128227234, -0.043038178235292435, -0.0075807515531778336, 0.008911858312785625, 0.0028625705745071173, 5.1928880566265434e-05, 0.005072157829999924, -0.1072002649307251, 0.02740379609167576, -0.03282047435641289, -0.030448131263256073, -0.0454634353518486, 0.003527604043483734, 0.02656451426446438, -0.038023415952920914, -0.013926076702773571, 0.03448212891817093, 0.0522821806371212, 0.0009883741149678826, -0.07175345718860626, -0.028821146115660667, 0.04584025964140892, 0.024580709636211395, -0.02068326622247696, 0.01024129893630743, 0.01024644635617733, 0.009375262074172497, -0.01611272245645523, -0.018986111506819725, 0.10113833099603653, 0.045193761587142944, -0.041476406157016754, 0.07159282267093658, 0.07619841396808624, -0.00019072669965680689, 0.024006113409996033, -0.04605681449174881, -0.012073961086571217, 0.052446965128183365, 0.057743191719055176, 0.007736775558441877, -0.061389222741127014, -0.007124937139451504, 0.0437944270670414, 0.15230146050453186, 0.012450550682842731, 0.030653037130832672, -0.0002367567940382287, -0.017635339871048927, 0.02367447502911091, -0.03860630467534065, 0.04296552389860153, -0.07768761366605759, 0.06487363576889038, -0.06457886844873428, -0.04528741165995598, 0.039859406650066376, -0.0026566863525658846, -0.00812123529613018, -0.1251911073923111, 0.03136006370186806, 0.003105384763330221, 0.00519995903596282, -0.05358835309743881, -0.011655760928988457, -0.030118264257907867, 0.07370348274707794, -0.01797814853489399, -0.035799674689769745, -0.004585910588502884, -0.09182636439800262, 0.028206227347254753, 0.009021022357046604, -0.023410888388752937, -0.03796224668622017, -0.02746955119073391, 0.08533459901809692, 0.09516394883394241, -0.09395289421081543, 0.0012980228057131171, 0.007634134031832218, -0.03414091095328331, -0.048513755202293396, -0.04070904105901718, -0.005958362016826868, 0.018507344648241997, -0.02004482038319111, -0.07325663417577744, 0.00784959178417921, 0.062247104942798615, 0.019825419411063194, 0.03464886173605919, 0.009025661274790764, 0.013799323700368404, -0.01678379252552986, 0.05856975167989731, -0.11059300601482391, 0.051646292209625244, 0.01303405687212944, 0.004280644003301859, -0.007193704601377249, 0.07945720851421356, 0.06752126663923264, -0.022676441818475723, 0.037487100809812546, 0.07550068199634552, -0.04337666556239128, 0.06544514000415802, 0.021194687113165855, 0.04935460537672043, 0.015239651314914227, 0.03460133075714111, 0.03154108673334122, 0.04944483935832977, -0.02542581409215927, -0.059508342295885086, 0.06453924626111984, -0.035322003066539764, -0.01798938773572445, -0.0933544933795929, 0.06444939225912094, 0.018370015546679497, -0.006063724867999554, 0.033133286982774734, -0.019799407571554184, -0.05101015418767929, 0.037653326988220215, -0.11813057959079742, -0.07492029666900635, 0.00017360923811793327, 0.03765719383955002, -0.039438989013433456, 0.0803859755396843, -0.020593589171767235, -0.0392143540084362, -0.05774408578872681, -0.05328523740172386, -0.05412757396697998, 0.028910430148243904, -0.044482093304395676, -0.009851383045315742, -0.033306729048490524, -0.07960013300180435, 0.03133842721581459, 0.05378226190805435, 0.06646040081977844, -0.04538370296359062, -0.03741410747170448, 0.02102172188460827, 0.027935348451137543, 0.023288289085030556, -0.001785731757991016, -0.13194411993026733, -0.015582737512886524, -0.1035936027765274, -0.0033001501578837633, 0.04077241197228432, -0.03232627362012863, 0.0028526671230793, -0.08313323557376862, 0.02353321574628353, -0.03627752512693405, 0.04051792994141579, 0.004701706580817699, 0.005325373727828264, -0.021828502416610718, 0.008845400996506214, -0.0170931164175272, -0.027924636378884315, 0.12186402082443237, -0.12245484441518784, -0.003989358898252249, -0.005513025913387537, 0.08610779792070389, 0.053331147879362106, -0.028515031561255455, -0.024951372295618057, 0.008176480419933796, -0.10341349989175797, 0.011541790328919888, 0.02330828085541725, 0.10066883265972137, -0.04762905836105347, -0.10522446036338806, 0.004656886216253042, 0.041609104722738266, -0.08008072525262833, -0.034063663333654404, 0.03463344648480415, 0.05536547675728798, 0.0033769307192415, -0.017510971054434776, -0.0043786694295704365, -0.01263335533440113, -0.07434899359941483, -0.00922836922109127, 0.034063227474689484, 0.07267975062131882, -0.10750874876976013, 0.04763589799404144, 0.02464229427278042, 0.06867621093988419, 0.022277221083641052, -0.13890793919563293, 0.046538084745407104, -0.04697161167860031, -0.061107758432626724, 0.04168131574988365, -0.00601635267958045, -0.029935745522379875, 0.03509652614593506, 0.06350197643041611, 0.018310271203517914, -0.08855994045734406, -0.03081228770315647, -0.02151765301823616, 0.02416483871638775, -0.06364556401968002, -0.03923047333955765, 0.030605759471654892, -0.004940136801451445, 0.0007465349626727402, 0.0023222528398036957, -0.0735325962305069, -0.04540914669632912, -0.004758881404995918, 0.020970383659005165, -0.0030161591712385416, 0.004012027755379677, 0.054628051817417145, -0.011819143779575825, 0.0546407625079155, 0.02436753176152706, 0.02389988675713539, -0.017114555463194847, 0.04446360841393471, -0.012033233419060707, 0.0009972730185836554, -0.07881541550159454, -0.056262556463479996, 0.025790587067604065, 0.033216074109077454, -0.022632600739598274, 0.06643147021532059, 0.1568526178598404, -0.0209299698472023, 0.016074705868959427, -0.039683569222688675, -0.06748691201210022, 0.0415947288274765, -0.042985256761312485, 0.0018919045105576515, -0.04055752977728844, -0.036592837423086166, 0.010551949962973595, 0.054580580443143845, 0.07476379722356796, -0.035715244710445404, 0.09668170660734177, 0.014545494690537453, -0.009463931433856487, 0.02212982252240181, 0.10090981423854828, -0.036388181149959564, -0.04072108119726181, 0.05550765246152878, -0.023852095007896423, -0.05619727447628975, 0.016504785045981407, 0.0658787414431572, 0.012579384259879589, -0.08853068947792053, 0.07847567647695541, 0.02287459187209606, -0.004338384140282869, 0.021984247490763664, 0.053806062787771225, -0.0441640168428421, -0.04032449424266815, 0.018626965582370758, -0.05558088421821594, -0.028945831581950188, 0.03771154209971428, 0.020354706794023514, -0.03723233565688133, -0.012176243588328362, 0.02398296818137169, 0.03082938864827156, -0.05755551531910896, 0.031729236245155334, -0.03830161318182945, 0.004155660048127174, 0.034383226186037064, 0.10385622084140778, -0.04672272503376007, -0.025056643411517143, 0.0027291488368064165, -0.03743444383144379, -0.02172957733273506, 0.021898074075579643, -0.07686425000429153, 0.0566406175494194, -0.014510029926896095, 0.0375223234295845, -0.0585181899368763, -0.05988677963614464, -0.022254211828112602, 0.09397460520267487, 0.003066036384552717, 0.039207518100738525, 0.044918570667505264, -0.059539418667554855, 0.016449706628918648, -0.003878528717905283, -0.0010007834061980247, 0.06391777843236923, -0.025600913912057877, 0.027612410485744476, -0.08823712170124054, 0.014597314409911633, 0.10777643322944641, -0.024009857326745987, 0.07656911015510559, -0.04602409526705742, 0.0015551166143268347, 0.05633058771491051, 0.06035325676202774, -0.003100041300058365, -0.042246777564287186, 0.06992406398057938, -0.09450580924749374, 0.04699036478996277, 0.011283624917268753, 0.033966824412345886, 0.07383044809103012, 0.013773026876151562]"
APRESENTACAO_PARTIDO_NOVO-2025-v2-1_tokens.txt,1,propósito melhorar forma duradouro qualidade vida grande número pessoa rápido possível premissa 1 ninguém bom pra administrar próprio vida 2 nada estado fornecer gratuito 3 existir salvador pátria princípio valor instituição princípio valor inegociável 1 livre mercado direito propriedade 2 liberdade individual respeito próximo estado leve eficiente serviço pessoa 4 combate corrupção privilégio 5 império lei democracia 3 oportunidade alcance todo 6 novo instituição sócio filiar novo liderança novo prática novo postura diferencial ativo marcar produto mandato cliente cidadão brasileiro desviar princípio valor risco históriar novo criação registro partido tse fundação novo 17 novo diretório 2016 2018 2020 2022 2024 2011 2015 2017 1 eleição nacional 2 eleição nacional 1 eleição municipal 2 eleição municipal 3 eleição municipal coletar 1 milhão reelege governador mina geral 3 federal eleger 5 estadual eleger governador mina geral 8 federal 12 estadual eleger prefeito eleger 19 prefeito 262 vereador participar 5 capital eleger assinatura joinville 28 vereador 4 vereador definiçãor programa partidário estatuto formação líder representante novo congresso nacional federal adriano ventura marcel van hattem gilson marques luiz lima 6 estadual estadual felipe camozzato leo siqueira matheus cadorin dr,"[-0.02838052250444889, 0.02995995618402958, 0.022275833413004875, -0.012691378593444824, 0.02391861565411091, 0.02109522745013237, 0.0027732669841498137, 0.027000756934285164, 0.017964202910661697, 0.0625576451420784, 0.07807747274637222, -0.04278158023953438, -0.012155896984040737, 0.022801868617534637, 0.04848151281476021, -0.026252569630742073, -0.0869976133108139, 0.025082195177674294, -0.08538738638162613, 0.03564931079745293, 0.02647215500473976, -0.03546817973256111, -0.0626932680606842, -0.025230824947357178, -0.06002284213900566, 0.007697315886616707, 0.0004087115521542728, -0.04368513822555542, 0.0733950212597847, -0.020192809402942657, 0.03913729637861252, 0.03324602544307709, 0.118191197514534, -0.010514236986637115, 0.04390719160437584, -0.01399876456707716, -0.0026590304914861917, 0.002104420680552721, -0.0006957055884413421, 0.06180187687277794, -0.08070223778486252, -0.06577415764331818, -0.004016093444079161, 0.00941724143922329, 0.015497175976634026, -0.039906423538923264, 0.0783487930893898, 0.017816180363297462, -0.10418553650379181, -0.03811529651284218, -0.021854277700185776, -0.05250655487179756, -0.08873344212770462, 0.020220817998051643, -0.0016940837958827615, -0.050906263291835785, 0.03530608117580414, 0.002727407030761242, 0.015193578787147999, -0.04758749157190323, 0.06204074248671532, 0.05424211919307709, -0.11207852512598038, -0.01799326390028, -0.008396675810217857, 0.020296381786465645, 0.02443062514066696, 0.019779516384005547, -0.06906909495592117, 0.06706969439983368, 0.010074249468743801, -0.02338964119553566, -0.058354657143354416, -0.024013208225369453, -0.000855709717143327, -0.026569250971078873, 0.06422344595193863, -0.011476073414087296, 0.06189187616109848, 0.015675079077482224, 0.07678709924221039, 0.00832571554929018, -0.08915908634662628, -0.029103053733706474, -0.06318807601928711, -0.04232227802276611, -0.008023569360375404, -0.02760452590882778, 0.0530514270067215, -0.05921625345945358, 0.01537940464913845, 0.1160101667046547, 0.10080525279045105, 0.01130464393645525, 0.050018180161714554, -0.006065491586923599, -0.02239190600812435, -0.028762077912688255, 0.0230367761105299, 0.06018070504069328, -0.06682794541120529, 0.12427423149347305, 0.002558956854045391, -0.03732743486762047, 0.0019891993142664433, 0.05385161563754082, -0.03155408799648285, -0.01734914444386959, 0.039154913276433945, 0.0728432685136795, -0.03704006224870682, -0.027098093181848526, -0.06087806820869446, 0.014578514732420444, -0.011826276779174805, -0.00495176250115037, -0.012951036915183067, 0.008641987107694149, -0.0145979393273592, 0.06669077277183533, 0.07335126399993896, -0.08425905555486679, -0.005681046284735203, -0.026675863191485405, 0.09354990720748901, 0.017344949766993523, 0.014464017003774643, -0.021349789574742317, -0.005098185036331415, -0.020273666828870773, 0.05541674792766571, -0.052358660846948624, -0.11387041211128235, 0.04929173365235329, -0.05013349652290344, -0.017099479213356972, 0.019949888810515404, 0.0027509231586009264, 0.03101816400885582, 0.034415535628795624, -0.044877100735902786, 0.06002501770853996, 0.03669475018978119, 0.028792642056941986, -0.005680257920175791, 0.015787985175848007, 0.05824584886431694, -0.016159072518348694, 0.09730631113052368, 0.022190406918525696, 0.026967279613018036, -0.06374751776456833, 0.11084204912185669, 0.031346727162599564, 0.027361895889043808, -0.08029787987470627, 0.09779003262519836, -0.0031130926217883825, 0.017719408497214317, -0.001428902382031083, -0.04948645457625389, -0.006685130298137665, -0.029223596677184105, 0.006886431947350502, -0.0019842067267745733, -0.02908078394830227, -0.039131712168455124, -0.038941092789173126, -0.0526709221303463, 0.04900502413511276, 0.09928102046251297, -0.002187452046200633, 0.05415187031030655, 0.02680150233209133, 0.1076546385884285, 0.010839739814400673, 0.012952222488820553, -0.00012241266085766256, -0.05641626566648483, -0.058517005294561386, -0.035671792924404144, -0.05720354989171028, -0.07196442782878876, 0.0005201828316785395, -0.1382538080215454, 0.07415292412042618, -0.06081987917423248, -0.014307078905403614, 0.0089187603443861, -0.06416533887386322, -0.08148351311683655, -0.00017593690427020192, 0.06810212880373001, 0.0223684161901474, 0.00673659285530448, -0.09947404265403748, 0.05862465500831604, -0.004781502299010754, 0.012157758697867393, 0.016044391319155693, -0.14973567426204681, 0.01930927485227585, 0.0023485152050852776, -0.033365003764629364, 0.06232690066099167, 0.006548098288476467, -0.006753405090421438, 0.03913894668221474, -0.09025654941797256, 0.008476856164634228, 0.004726041108369827, 0.07399144023656845, 0.025831691920757294, 0.0015635532326996326, 0.05676146224141121, -0.017840826883912086, -0.0020201813895255327, 0.04727047681808472, -0.06530238687992096, 0.014342441223561764, 0.015180004760622978, 0.05822247266769409, 0.030468571931123734, -0.05758834257721901, 0.00048544874880462885, 0.032454028725624084, -0.10019053518772125, 0.058238256722688675, 0.008291877806186676, 0.007082382682710886, -0.1101108118891716, -0.042575400322675705, 0.007584270089864731, 0.03534781187772751, -0.05643458664417267, -0.05901592969894409, 0.13646851480007172, 0.02693152241408825, -0.08438796550035477, -0.03800284117460251, 0.010290848091244698, -0.08595722168684006, -0.05519362539052963, 0.007840233854949474, -0.006909539457410574, 0.11971040815114975, -0.12951698899269104, 0.08173660933971405, -0.028739476576447487, 0.048736732453107834, -0.05548375844955444, -0.052808456122875214, 0.033052362501621246, -0.022317178547382355, 0.03734688088297844, 0.0630849078297615, -0.04168351739645004, 0.038224536925554276, 0.028582781553268433, -0.03900900483131409, 0.012736164964735508, -0.06331905722618103, -0.01974824070930481, 0.20183362066745758, 0.050041187554597855, -0.012590328231453896, -0.09919866919517517, -0.04984070733189583, -0.02193983644247055, -0.017689174041152, 0.04301578551530838, -0.10503050684928894, 0.06465688347816467, 0.006518858019262552, 0.03366347774863243, -0.0479416586458683, -0.03664444014430046, 0.031259022653102875, 0.008419160731136799, 0.01208007987588644, 0.06981193274259567, -0.01732976920902729, -0.020148543640971184, -0.036549754440784454, -0.06716347485780716, 0.09667801111936569, 0.02119108848273754, 0.05065033584833145, -0.06450558453798294, 0.03875049203634262, -0.024094734340906143, 0.07167460024356842, 0.0015159198082983494, -0.02869836986064911, 0.03809330239892006, -0.05523587763309479, -0.0597388818860054, -0.018689114600419998, -0.03253500908613205, -0.019311977550387383, 0.028642410412430763, -0.0030578181613236666, 0.004166641738265753, -0.09332620352506638, 0.03178562968969345, 0.00011883069237228483, 0.040878407657146454, 0.008655245415866375, -0.021956611424684525, 0.027051351964473724, 0.08638020604848862, -0.10422411561012268, 0.08776936680078506, -0.021668069064617157, -0.043280959129333496, -0.0346909761428833, -0.04175107553601265, -0.011160348542034626, -0.06533115357160568, -0.04175199568271637, 0.021703040227293968, 0.0759572684764862, -0.015693174675107002, 0.04112324118614197, -0.00523764081299305, 0.003066535107791424, -0.0021503823809325695, -0.05486428737640381, -0.007169315591454506, -0.004087102133780718, 0.032840609550476074, 0.04658397287130356, -0.025800704956054688, -0.04574567452073097, -0.015017681755125523, 0.009083708748221397, -0.05589446425437927, 0.011356569826602936, -0.042746592313051224, -0.07556424289941788, 0.0858696848154068, 0.02653803862631321, -0.07153633236885071, -0.06276315450668335, -0.025606226176023483, 0.025928782299160957, 0.009347680024802685, 0.001420926651917398, -0.04284331202507019, -0.02177657000720501, 0.03130095452070236, 0.08753412961959839, -0.008352013304829597, -0.09379949420690536, -0.046448566019535065, 0.021751023828983307, -0.03065059706568718, 0.022698966786265373, -0.016554230824112892, -0.031374603509902954, 0.042724527418613434, 0.10353196412324905, 0.0591144822537899, 0.09194393455982208, -0.025857459753751755, -0.04416205361485481, 0.03306366503238678, 0.0074302153661847115, 0.03627515584230423, -0.022379538044333458, -0.03546872362494469, 0.021062592044472694, 0.06297612190246582, 0.0075447652488946915, 0.028102174401283264, 0.01866241730749607, 0.002424099249765277, 0.1066848486661911, -0.0385863222181797, -0.01770923286676407, 0.06773779541254044, -0.034970857203006744, -0.012154691852629185, 0.03563496097922325]"
APRESENTACAO_PARTIDO_NOVO-2025-v2-1_tokens.txt,2,maurício zé laviola emerson jarude senador ce ricardo salles eduardo gir reeleger mina geral romeu zema gestão reeleita 1 turno 2022 80 mineiro aprovar novo governo corte privilégio redução 22 12 secretaria diminuição cargo comissionar seleção critério técnico 1 milhão emprego gerar mina desde início mandato r 270 bilhão investimento privado atraír estado aqui primeira vez desde 2012 mina fechar conta azul mina geral tornar estado seguro brasil 2021 regularizar pagamento servidor dívida bilionário deixar gestão anterior 2 4 41 mandatário brasil 116 novo dar exemplo cortar privilégio gasto desnecessário novo acreditar precisar concordar tudo,"[-0.050121914595365524, 0.05441935732960701, 0.04272858425974846, -0.004738888703286648, 0.03776637092232704, 0.03334958478808403, 0.09042216837406158, 0.07582982629537582, 0.027689632028341293, 0.0668392926454544, 0.02447749301791191, -0.05847812443971634, -0.0030063707381486893, 0.004989716224372387, -0.04489545151591301, -0.05057629570364952, -0.045474544167518616, 0.020537639036774635, -0.03693857789039612, 0.0193316712975502, 0.09418932348489761, -0.07376694679260254, -0.09699040651321411, -0.023186810314655304, 0.02828988805413246, 0.01197146624326706, -0.048729509115219116, -0.048677947372198105, 0.024074558168649673, -0.06385654956102371, -0.017190610989928246, -0.002894066274166107, 0.1046760082244873, 0.009056947194039822, 0.10705310851335526, -0.06342769414186478, 0.01122334785759449, -0.031671252101659775, 0.029790686443448067, 0.051213763654232025, -0.06246402859687805, -0.05764266848564148, -0.0481632761657238, 0.018375609070062637, 0.02041834220290184, -0.040254659950733185, 0.03727171942591667, 0.023162908852100372, -0.08553478866815567, 0.00414417777210474, 0.038541898131370544, -0.012496158480644226, -0.058946579694747925, 0.01867777109146118, -0.015957212075591087, -0.09057768434286118, 0.10321623086929321, 0.02592542953789234, 0.009961765259504318, 0.052977707237005234, 0.021456535905599594, 0.05640348047018051, -0.09311263263225555, -0.035568468272686005, -0.03280127793550491, -0.014614135958254337, 0.05372925475239754, -0.031470201909542084, -0.029420280829072, 0.04711754620075226, 0.08807920664548874, -0.07478777319192886, -0.07823045551776886, -0.0731201246380806, -0.009959133341908455, -0.016470711678266525, 0.04230649024248123, 0.09533704817295074, 0.029568612575531006, -0.028405427932739258, 0.06644881516695023, 0.0035987552255392075, -0.062033068388700485, -0.03166983649134636, -0.03957579657435417, -0.03347814455628395, 0.06527348607778549, 0.080167755484581, 0.12910453975200653, -0.11999767273664474, 0.03764482960104942, 0.031108079478144646, 0.09772476553916931, 0.012046080082654953, 0.020005639642477036, 0.024798428639769554, -0.03882454335689545, 0.010156292468309402, 0.04017861187458038, 0.08382654935121536, -0.0190737247467041, 0.0750342309474945, -0.0425090417265892, -0.015085753984749317, -0.05099531263113022, 0.08467984199523926, -0.01585732027888298, -0.017046574503183365, 0.03504471108317375, 0.010863350704312325, -0.02144559472799301, 0.01890040561556816, -0.05498617887496948, 0.023948362097144127, -0.018173692747950554, -0.0025232539046555758, 0.030125301331281662, 0.013532878831028938, -0.021340347826480865, 0.049169234931468964, 0.058653198182582855, -0.057084355503320694, -0.052145011723041534, -0.041898056864738464, 0.02906256727874279, 0.007941782474517822, -0.039143018424510956, -0.03036939539015293, -0.008404511958360672, -0.07577762007713318, 0.025096751749515533, -0.051501888781785965, -0.10704131424427032, 0.0655331090092659, -0.04730652645230293, 0.026182612404227257, -0.02087632566690445, -0.01957731321454048, -0.050368547439575195, -0.004807286895811558, -0.055303048342466354, 0.04275299236178398, 0.05918605998158455, 0.0528988316655159, 0.02749348059296608, 0.04613855481147766, 0.05866474285721779, 0.027605248615145683, 0.0827997624874115, 0.03856416419148445, 0.021053366363048553, -0.036330174654722214, 0.1811893880367279, 0.04074662923812866, -0.04041469842195511, -0.07248471677303314, 0.07856428623199463, 0.04329801723361015, 0.05789677053689957, -0.04385368525981903, -0.054607801139354706, 0.007234558463096619, -0.04081231355667114, 0.0020674781408160925, 0.08598461002111435, 0.0004490903811529279, -0.04777956381440163, -0.03402545675635338, -0.05268105864524841, 0.03697120025753975, 0.005362211260944605, 0.039116472005844116, 0.0591915063560009, -0.02649230882525444, 0.05979197472333908, -0.04096885025501251, 0.020143309608101845, -0.021757999435067177, -0.0557427778840065, -0.047838468104600906, -0.05284726247191429, -0.01414294634014368, -0.03969424217939377, 0.013826313428580761, -0.11319957673549652, 0.08958445489406586, -0.06664689630270004, 0.006802443414926529, 0.00855583418160677, -0.02716328762471676, -0.07191751152276993, 0.059477005153894424, 0.07752522826194763, 0.0771588385105133, -0.03458626940846443, -0.012450261041522026, 0.06585478037595749, 0.009377952665090561, -0.03803606331348419, 0.021196428686380386, -0.11632848531007767, 0.01044077705591917, -0.06773856282234192, -0.04882612079381943, 0.053266528993844986, 0.024382906034588814, -0.01072760671377182, -0.05112553387880325, -0.041830770671367645, 0.012843327596783638, 0.011825624853372574, 0.01221289113163948, 0.008011861704289913, -0.02137875370681286, 0.09095761179924011, 0.030363133177161217, -0.004788511898368597, 0.05995314195752144, -0.11166547983884811, -0.0089522460475564, 0.008694054558873177, 0.05473620444536209, 0.04439891502261162, -0.042958974838256836, -0.05894305929541588, 0.04403538256883621, -0.10726945847272873, 0.016992665827274323, 0.00878350529819727, 0.018084751442074776, -0.07895691692829132, -0.03589903935790062, -0.03708730638027191, -0.03730839118361473, -0.06599092483520508, -0.06759405881166458, 0.12651382386684418, 0.03175931051373482, -0.0568280890583992, 0.025348756462335587, 0.019400447607040405, -0.08178672939538956, -0.1249757707118988, 0.02954949624836445, -0.03186747431755066, 0.08499140292406082, -0.039967868477106094, 0.07805324345827103, -0.022027183324098587, -0.020586617290973663, -0.038965992629528046, -0.08242704719305038, 0.04394926130771637, 0.011779227294027805, 0.029597003012895584, -0.0007299704011529684, -0.021580375730991364, 0.05224669724702835, 0.0026385055389255285, -0.05079755559563637, 0.013711734674870968, -0.060572534799575806, 0.012579210102558136, 0.16134308278560638, 0.019808979704976082, -0.044413644820451736, -0.018634619191288948, -0.004405655898153782, -0.03838706016540527, -0.07936011999845505, 0.01241202000528574, -0.11275369673967361, 0.037298575043678284, -0.04034264385700226, 0.03128635510802269, -0.0884503424167633, -0.006876796949654818, 0.012153059244155884, 0.005851176101714373, 0.007130818907171488, 0.055650223046541214, 0.04226449504494667, -0.00220635998994112, 0.049840185791254044, -0.0007327909697778523, 0.07958340644836426, 0.03573950380086899, 0.01598357781767845, -0.08921989798545837, 0.05373096466064453, -0.03698321431875229, 0.03722567856311798, 0.039088424295186996, -0.015151483938097954, 0.07004914432764053, -0.032945286482572556, -0.09036007523536682, 0.021206438541412354, -0.048677071928977966, -0.028010424226522446, -0.0075804851949214935, 0.03671899810433388, -0.02409355528652668, -0.054630834609270096, 0.028631476685404778, 0.020520268008112907, 0.059467099606990814, 0.0031777413096278906, 0.02038905769586563, 0.004023962654173374, 0.04972007870674133, -0.07851682603359222, 0.07390667498111725, -0.04433135315775871, -0.007082227151840925, -0.05312516167759895, 0.05507539585232735, -0.005446584429591894, -0.028725244104862213, -0.05615520849823952, 0.02625882811844349, 0.010470143519341946, 0.0031109778210520744, 0.06893334537744522, 0.06120697408914566, -0.003452771343290806, -0.04394890367984772, -0.00912800058722496, 0.028624610975384712, -0.034146927297115326, 0.07443942874670029, -0.024340666830539703, -0.05093739181756973, -0.054043326526880264, -0.0328734926879406, 0.01631242409348488, -0.05031228065490723, 0.05266470089554787, -0.04608013108372688, -0.05756264179944992, 0.014409052208065987, 0.018639635294675827, -0.01915489137172699, -0.07255774736404419, -0.02587946131825447, 0.01933676190674305, -0.006689004134386778, 0.05528116598725319, -0.07757054269313812, -0.020982669666409492, -0.00428435206413269, 0.0685514286160469, -0.041423916816711426, -0.09487505257129669, -0.051346294581890106, 0.06808175891637802, -0.004560256842523813, 0.034377411007881165, -0.008266428485512733, -0.062248338013887405, 0.09946787357330322, 0.03718143329024315, 0.044339749962091446, 0.08962299674749374, 0.007603346835821867, -0.02613084204494953, -0.02218153327703476, 0.02198738604784012, 0.06512279063463211, -0.0140224015340209, -0.06963662058115005, -0.030659310519695282, 0.027251912280917168, 0.02719588577747345, 0.051276348531246185, -0.002421171637251973, 0.0037695523351430893, 0.019984107464551926, -0.04279307276010513, 0.03838043659925461, -0.004712729714810848, -0.04532885178923607, -0.0033007822930812836, 0.03009515069425106]"
