chunk_id,chunk_text,preprocess_agenda,tokens
10,"Nesse contexto, o Partido Liberal trabalha para proteger seus cidadãos com bem-estar social, visando aumentar a oferta de emprego, a geração de renda, a segurança e a manutenção de valores que são tradicionais em nossa sociedade e defendidos pelo Partido Liberal.",nesse contexto o partido liberal trabalha para proteger seus cidadaos com bem estar social visando aumentar a oferta de emprego a geracao de renda a seguranca e a manutencao de valores que sao tradicionais em nossa sociedade e defendidos pelo partido liberal,"[""nesse"", ""contexto"", ""o"", ""partido"", ""liberal"", ""trabalha"", ""para"", ""proteger"", ""seus"", ""cidadaos"", ""com"", ""bem"", ""estar"", ""social"", ""visando"", ""aumentar"", ""a"", ""oferta"", ""de"", ""emprego"", ""a"", ""geracao"", ""de"", ""renda"", ""a"", ""seguranca"", ""e"", ""a"", ""manutencao"", ""de"", ""valores"", ""que"", ""sao"", ""tradicionais"", ""em"", ""nossa"", ""sociedade"", ""e"", ""defendidos"", ""pelo"", ""partido"", ""liberal""]"
11,O PL sabe que a ausência de soluções oportunas e concretas gera a inquietação social.,o pl sabe que a ausencia de solucoes oportunas e concretas gera a inquietacao social,"[""o"", ""pl"", ""sabe"", ""que"", ""a"", ""ausencia"", ""de"", ""solucoes"", ""oportunas"", ""e"", ""concretas"", ""gera"", ""a"", ""inquietacao"", ""social""]"
12,"Observa-se que desde o ano de 2013 o Brasil passa por uma refundação do relacionamento da sociedade com a política e seus políticos, pois são a estes últimos que o povo delega a competência e a responsabilidade em equacionar e responder às indagações necessárias na busca e na manutenção da paz social. Desde então, na prospecção de conceitos e sentimentos que ajudassem a população a compreender e eleger ferramentas para a solução de problemas atípicos, a sociedade brasileira desaguou no liberalismo e no conservadorismo. O povo brasileiro pôde reascender em sua essência verdadeiros sentimentos outrora adormecidos, resgatamos o orgulho da nossa bandeira, o amor pela pátria, a valorização do seio familiar e o fortalecimento da liberdade individual e econômica na sua vertente mais crua, sem tutelas do estado. Essas raízes, valores e tradições materializaram no seio da sociedade os mesmos ideais defendidos pelo Partido Liberal e seu fundador, Deputado Álvaro Valle, com as mesmas bases e os fundamentos para a construção e preservação de uma sociedade justa, igualitária e fraterna. Dentro deste contexto, o Partido Liberal sempre esteve e estará conectado a todas as mudanças, analisando com um olhar crítico e criativo as necessidades e prioridades da nação brasileira, acompanhando a marcha social, incorporando novos paradigmas à gênese de sua fundação e mantendo intacta a essência do Partido em garantir a liberdade individual de cada cidadão brasileiro de ser o que é, respeitando o direito constitucional e os alicerces da democracia; a liberdade de pensamento e a liberdade de expressão. PROGRAMA O Partido Liberal (PL), acreditando na Democracia como instrumento de ação plena da cidadania e buscando o Bem Comum para a manutenção de uma sociedade livre, plural e participativa, apresenta seus temas prioritários para manutenção dos objetivos fundamentais permanentes do Brasil. Resguardamos e defendemos os valores conservadores da sociedade brasileira. Reafirmamos nossa crença na Vida e na Liberdade em todas as suas vertentes, direitos naturais e inalienáveis; na Sociedade, unidade orgânica e comunidade de homens; na Política, atividade essencial para a administração da sociedade e manutenção da ordem e da moral.",observa se que desde o ano de 2013 o brasil passa por uma refundacao do relacionamento da sociedade com a politica e seus politicos pois sao a estes ultimos que o povo delega a competencia e a responsabilidade em equacionar e responder as indagacoes necessarias na busca e na manutencao da paz social desde entao na prospeccao de conceitos e sentimentos que ajudassem a populacao a compreender e eleger ferramentas para a solucao de problemas atipicos a sociedade brasileira desaguou no liberalismo e no conservadorismo o povo brasileiro pode reascender em sua essencia verdadeiros sentimentos outrora adormecidos resgatamos o orgulho da nossa bandeira o amor pela patria a valorizacao do seio familiar e o fortalecimento da liberdade individual e economica na sua vertente mais crua sem tutelas do estado essas raizes valores e tradicoes materializaram no seio da sociedade os mesmos ideais defendidos pelo partido liberal e seu fundador deputado alvaro valle com as mesmas bases e os fundamentos para a construcao e preservacao de uma sociedade justa igualitaria e fraterna dentro deste contexto o partido liberal sempre esteve e estara conectado a todas as mudancas analisando com um olhar critico e criativo as necessidades e prioridades da nacao brasileira acompanhando a marcha social incorporando novos paradigmas a genese de sua fundacao e mantendo intacta a essencia do partido em garantir a liberdade individual de cada cidadao brasileiro de ser o que e respeitando o direito constitucional e os alicerces da democracia a liberdade de pensamento e a liberdade de expressao programa o partido liberal pl acreditando na democracia como instrumento de acao plena da cidadania e buscando o bem comum para a manutencao de uma sociedade livre plural e participativa apresenta seus temas prioritarios para manutencao dos objetivos fundamentais permanentes do brasil resguardamos e defendemos os valores conservadores da sociedade brasileira reafirmamos nossa crenca na vida e na liberdade em todas as suas vertentes direitos naturais e inalienaveis na sociedade unidade organica e comunidade de homens na politica atividade essencial para a administracao da sociedade e manutencao da ordem e da moral,"[""observa"", ""se"", ""que"", ""desde"", ""o"", ""ano"", ""de"", ""2013"", ""o"", ""brasil"", ""passa"", ""por"", ""uma"", ""refundacao"", ""do"", ""relacionamento"", ""da"", ""sociedade"", ""com"", ""a"", ""politica"", ""e"", ""seus"", ""politicos"", ""pois"", ""sao"", ""a"", ""estes"", ""ultimos"", ""que"", ""o"", ""povo"", ""delega"", ""a"", ""competencia"", ""e"", ""a"", ""responsabilidade"", ""em"", ""equacionar"", ""e"", ""responder"", ""as"", ""indagacoes"", ""necessarias"", ""na"", ""busca"", ""e"", ""na"", ""manutencao"", ""da"", ""paz"", ""social"", ""desde"", ""entao"", ""na"", ""prospeccao"", ""de"", ""conceitos"", ""e"", ""sentimentos"", ""que"", ""ajudassem"", ""a"", ""populacao"", ""a"", ""compreender"", ""e"", ""eleger"", ""ferramentas"", ""para"", ""a"", ""solucao"", ""de"", ""problemas"", ""atipicos"", ""a"", ""sociedade"", ""brasileira"", ""desaguou"", ""no"", ""liberalismo"", ""e"", ""no"", ""conservadorismo"", ""o"", ""povo"", ""brasileiro"", ""pode"", ""reascender"", ""em"", ""sua"", ""essencia"", ""verdadeiros"", ""sentimentos"", ""outrora"", ""adormecidos"", ""resgatamos"", ""o"", ""orgulho"", ""da"", ""nossa"", ""bandeira"", ""o"", ""amor"", ""pela"", ""patria"", ""a"", ""valorizacao"", ""do"", ""seio"", ""familiar"", ""e"", ""o"", ""fortalecimento"", ""da"", ""liberdade"", ""individual"", ""e"", ""economica"", ""na"", ""sua"", ""vertente"", ""mais"", ""crua"", ""sem"", ""tutelas"", ""do"", ""estado"", ""essas"", ""raizes"", ""valores"", ""e"", ""tradicoes"", ""materializaram"", ""no"", ""seio"", ""da"", ""sociedade"", ""os"", ""mesmos"", ""ideais"", ""defendidos"", ""pelo"", ""partido"", ""liberal"", ""e"", ""seu"", ""fundador"", ""deputado"", ""alvaro"", ""valle"", ""com"", ""as"", ""mesmas"", ""bases"", ""e"", ""os"", ""fundamentos"", ""para"", ""a"", ""construcao"", ""e"", ""preservacao"", ""de"", ""uma"", ""sociedade"", ""justa"", ""igualitaria"", ""e"", ""fraterna"", ""dentro"", ""deste"", ""contexto"", ""o"", ""partido"", ""liberal"", ""sempre"", ""esteve"", ""e"", ""estara"", ""conectado"", ""a"", ""todas"", ""as"", ""mudancas"", ""analisando"", ""com"", ""um"", ""olhar"", ""critico"", ""e"", ""criativo"", ""as"", ""necessidades"", ""e"", ""prioridades"", ""da"", ""nacao"", ""brasileira"", ""acompanhando"", ""a"", ""marcha"", ""social"", ""incorporando"", ""novos"", ""paradigmas"", ""a"", ""genese"", ""de"", ""sua"", ""fundacao"", ""e"", ""mantendo"", ""intacta"", ""a"", ""essencia"", ""do"", ""partido"", ""em"", ""garantir"", ""a"", ""liberdade"", ""individual"", ""de"", ""cada"", ""cidadao"", ""brasileiro"", ""de"", ""ser"", ""o"", ""que"", ""e"", ""respeitando"", ""o"", ""direito"", ""constitucional"", ""e"", ""os"", ""alicerces"", ""da"", ""democracia"", ""a"", ""liberdade"", ""de"", ""pensamento"", ""e"", ""a"", ""liberdade"", ""de"", ""expressao"", ""programa"", ""o"", ""partido"", ""liberal"", ""pl"", ""acreditando"", ""na"", ""democracia"", ""como"", ""instrumento"", ""de"", ""acao"", ""plena"", ""da"", ""cidadania"", ""e"", ""buscando"", ""o"", ""bem"", ""comum"", ""para"", ""a"", ""manutencao"", ""de"", ""uma"", ""sociedade"", ""livre"", ""plural"", ""e"", ""participativa"", ""apresenta"", ""seus"", ""temas"", ""prioritarios"", ""para"", ""manutencao"", ""dos"", ""objetivos"", ""fundamentais"", ""permanentes"", ""do"", ""brasil"", ""resguardamos"", ""e"", ""defendemos"", ""os"", ""valores"", ""conservadores"", ""da"", ""sociedade"", ""brasileira"", ""reafirmamos"", ""nossa"", ""crenca"", ""na"", ""vida"", ""e"", ""na"", ""liberdade"", ""em"", ""todas"", ""as"", ""suas"", ""vertentes"", ""direitos"", ""naturais"", ""e"", ""inalienaveis"", ""na"", ""sociedade"", ""unidade"", ""organica"", ""e"", ""comunidade"", ""de"", ""homens"", ""na"", ""politica"", ""atividade"", ""essencial"", ""para"", ""a"", ""administracao"", ""da"", ""sociedade"", ""e"", ""manutencao"", ""da"", ""ordem"", ""e"", ""da"", ""moral""]"
13,"Vida e Liberdade - Liberdade é tão importante quanto a própria vida! Liberdade econômica, de expressão, religiosa, para a defesa de direitos e para o uso responsável dos recursos naturais. Não se negocia a LIBERDADE, nem a VIDA! Estado - O Partido Liberal (PL) vê no Estado o garantidor dos direitos constitucionais, promotor e guardião do Bem Comum.",vida e liberdade liberdade e tao importante quanto a propria vida liberdade economica de expressao religiosa para a defesa de direitos e para o uso responsavel dos recursos naturais nao se negocia a liberdade nem a vida estado o partido liberal pl ve no estado o garantidor dos direitos constitucionais promotor e guardiao do bem comum,"[""vida"", ""e"", ""liberdade"", ""liberdade"", ""e"", ""tao"", ""importante"", ""quanto"", ""a"", ""propria"", ""vida"", ""liberdade"", ""economica"", ""de"", ""expressao"", ""religiosa"", ""para"", ""a"", ""defesa"", ""de"", ""direitos"", ""e"", ""para"", ""o"", ""uso"", ""responsavel"", ""dos"", ""recursos"", ""naturais"", ""nao"", ""se"", ""negocia"", ""a"", ""liberdade"", ""nem"", ""a"", ""vida"", ""estado"", ""o"", ""partido"", ""liberal"", ""pl"", ""ve"", ""no"", ""estado"", ""o"", ""garantidor"", ""dos"", ""direitos"", ""constitucionais"", ""promotor"", ""e"", ""guardiao"", ""do"", ""bem"", ""comum""]"
14,O Estado institucionaliza o poder com o único objetivo de defender os interesses do Brasil e dos brasileiros.,o estado institucionaliza o poder com o unico objetivo de defender os interesses do brasil e dos brasileiros,"[""o"", ""estado"", ""institucionaliza"", ""o"", ""poder"", ""com"", ""o"", ""unico"", ""objetivo"", ""de"", ""defender"", ""os"", ""interesses"", ""do"", ""brasil"", ""e"", ""dos"", ""brasileiros""]"
15,"Cabe ao Estado zelar pela liberdade e pela vida dos cidadãos, uma vez que cidadania plena é aquela que garante ao indivíduo a oportunidade de transformação e não dependência do Estado. A cargo do Estado deve-se deixar somente aquilo que ele pode realizar.",cabe ao estado zelar pela liberdade e pela vida dos cidadaos uma vez que cidadania plena e aquela que garante ao individuo a oportunidade de transformacao e nao dependencia do estado a cargo do estado deve se deixar somente aquilo que ele pode realizar,"[""cabe"", ""ao"", ""estado"", ""zelar"", ""pela"", ""liberdade"", ""e"", ""pela"", ""vida"", ""dos"", ""cidadaos"", ""uma"", ""vez"", ""que"", ""cidadania"", ""plena"", ""e"", ""aquela"", ""que"", ""garante"", ""ao"", ""individuo"", ""a"", ""oportunidade"", ""de"", ""transformacao"", ""e"", ""nao"", ""dependencia"", ""do"", ""estado"", ""a"", ""cargo"", ""do"", ""estado"", ""deve"", ""se"", ""deixar"", ""somente"", ""aquilo"", ""que"", ""ele"", ""pode"", ""realizar""]"
16,"Concentrar seus esforços em exercer sua função estabilizadora e com enfoque nas suas principais responsabilidades como saúde, educação, segurança e bem-estar.",concentrar seus esforcos em exercer sua funcao estabilizadora e com enfoque nas suas principais responsabilidades como saude educacao seguranca e bem estar,"[""concentrar"", ""seus"", ""esforcos"", ""em"", ""exercer"", ""sua"", ""funcao"", ""estabilizadora"", ""e"", ""com"", ""enfoque"", ""nas"", ""suas"", ""principais"", ""responsabilidades"", ""como"", ""saude"", ""educacao"", ""seguranca"", ""e"", ""bem"", ""estar""]"
17,"Política - O Partido Liberal (PL) entende a Política como atividade essencialmente ética, que busca a formação de estruturas de poder e de governo, livres e democráticos.",politica o partido liberal pl entende a politica como atividade essencialmente etica que busca a formacao de estruturas de poder e de governo livres e democraticos,"[""politica"", ""o"", ""partido"", ""liberal"", ""pl"", ""entende"", ""a"", ""politica"", ""como"", ""atividade"", ""essencialmente"", ""etica"", ""que"", ""busca"", ""a"", ""formacao"", ""de"", ""estruturas"", ""de"", ""poder"", ""e"", ""de"", ""governo"", ""livres"", ""e"", ""democraticos""]"
18,"Respeitando o pluralismo, os direitos e deveres participativos do homem. É um instrumento permanente de luta pelo Bem Comum e pela liberdade individual.",respeitando o pluralismo os direitos e deveres participativos do homem e um instrumento permanente de luta pelo bem comum e pela liberdade individual,"[""respeitando"", ""o"", ""pluralismo"", ""os"", ""direitos"", ""e"", ""deveres"", ""participativos"", ""do"", ""homem"", ""e"", ""um"", ""instrumento"", ""permanente"", ""de"", ""luta"", ""pelo"", ""bem"", ""comum"", ""e"", ""pela"", ""liberdade"", ""individual""]"
19,"A inviolabilidade da tribuna parlamentar deve ser assegurada, sem que aí se inclua o direito à impunidade, nos casos de crime comum. No âmbito da harmonia e independência dos poderes, é imperioso preservar o poder de legislar para aqueles que detém o mandato popular, fazendo valer essa prerrogativa constitucional. Os poderes Legislativo, Executivo e Judiciário devem ser independentes e interdependentes. Eleições - O sufrágio é livre e secreto, devendo a lei propiciar a todos os candidatos a garantia da comunicação e divulgação de suas ideias, conforme previsto pelas leis eleitorais, observadas as disposições partidárias. O processo eleitoral deve ser transparente e auditável, a fim de impedir qualquer possibilidade de fraude ou manipulação. Federação - A autonomia dos estados, no plano político e econômico, deve ser assegurada.",a inviolabilidade da tribuna parlamentar deve ser assegurada sem que ai se inclua o direito a impunidade nos casos de crime comum no ambito da harmonia e independencia dos poderes e imperioso preservar o poder de legislar para aqueles que detem o mandato popular fazendo valer essa prerrogativa constitucional os poderes legislativo executivo e judiciario devem ser independentes e interdependentes eleicoes o sufragio e livre e secreto devendo a lei propiciar a todos os candidatos a garantia da comunicacao e divulgacao de suas ideias conforme previsto pelas leis eleitorais observadas as disposicoes partidarias o processo eleitoral deve ser transparente e auditavel a fim de impedir qualquer possibilidade de fraude ou manipulacao federacao a autonomia dos estados no plano politico e economico deve ser assegurada,"[""a"", ""inviolabilidade"", ""da"", ""tribuna"", ""parlamentar"", ""deve"", ""ser"", ""assegurada"", ""sem"", ""que"", ""ai"", ""se"", ""inclua"", ""o"", ""direito"", ""a"", ""impunidade"", ""nos"", ""casos"", ""de"", ""crime"", ""comum"", ""no"", ""ambito"", ""da"", ""harmonia"", ""e"", ""independencia"", ""dos"", ""poderes"", ""e"", ""imperioso"", ""preservar"", ""o"", ""poder"", ""de"", ""legislar"", ""para"", ""aqueles"", ""que"", ""detem"", ""o"", ""mandato"", ""popular"", ""fazendo"", ""valer"", ""essa"", ""prerrogativa"", ""constitucional"", ""os"", ""poderes"", ""legislativo"", ""executivo"", ""e"", ""judiciario"", ""devem"", ""ser"", ""independentes"", ""e"", ""interdependentes"", ""eleicoes"", ""o"", ""sufragio"", ""e"", ""livre"", ""e"", ""secreto"", ""devendo"", ""a"", ""lei"", ""propiciar"", ""a"", ""todos"", ""os"", ""candidatos"", ""a"", ""garantia"", ""da"", ""comunicacao"", ""e"", ""divulgacao"", ""de"", ""suas"", ""ideias"", ""conforme"", ""previsto"", ""pelas"", ""leis"", ""eleitorais"", ""observadas"", ""as"", ""disposicoes"", ""partidarias"", ""o"", ""processo"", ""eleitoral"", ""deve"", ""ser"", ""transparente"", ""e"", ""auditavel"", ""a"", ""fim"", ""de"", ""impedir"", ""qualquer"", ""possibilidade"", ""de"", ""fraude"", ""ou"", ""manipulacao"", ""federacao"", ""a"", ""autonomia"", ""dos"", ""estados"", ""no"", ""plano"", ""politico"", ""e"", ""economico"", ""deve"", ""ser"", ""assegurada""]"
