chunk_id,chunk_text,preprocess_agenda,tokens
0,"Em 2011, um pequeno grupo percebeu que era preciso SAIR DA INDIGNAÇÃO PARA A AÇÃO DIAGNÓSTICO Impostos altos e péssimos serviços públicos Estado inchado e burocrático Modelo econômico insustentável Partidos políticos desacreditados SURGIA O NOVO.",em 2011 um pequeno grupo perceber que ser preciso sair de o indignacao para o acao diagnostico imposto alto e pessimo servico publico estar inchado e burocratico modelo economico insustentavel partido politico desacreditar surgia o novo,"[""em"", ""2011"", ""um"", ""pequeno"", ""grupo"", ""perceber"", ""que"", ""ser"", ""preciso"", ""sair"", ""de o"", ""indignacao"", ""para"", ""o"", ""acao"", ""diagnostico"", ""imposto"", ""alto"", ""e"", ""pessimo"", ""servico"", ""publico"", ""estar"", ""inchado"", ""e"", ""burocratico"", ""modelo"", ""economico"", ""insustentavel"", ""partido"", ""politico"", ""desacreditar"", ""surgia"", ""o"", ""novo""]"
1,"PROPÓSITO Melhorar de forma duradoura a qualidade de vida do maior número de pessoas o mais rápido possível PREMISSAS 1 Ninguém melhor do que você pra administrar sua própria vida 2 Nada que o Estado fornece é gratuito 3 Não existe salvador da pátria PRINCÍPIOS E VALORES Somos uma instituição com princípios e valores inegociáveis 1 Livre mercado e direito à propriedade 2 Liberdade individual e respeito ao próximo Estado leve, eficiente e a serviço das pessoas 4 Combate à corrupção e aos privilégios 5 Império da lei e democracia 3 Oportunidades ao alcance de todos 6 O NOVO COMO INSTITUIÇÃO SÓCIOS filiados novas lideranças, novas práticas e novas posturas DIFERENCIAIS ATIVO a marca PRODUTO os mandatos CLIENTE o cidadão brasileiro nos desviarmos dos nossos princípios e valores RISCO A HISTÓRIA DO NOVO Criação de Registro como partido pelo TSE FUNDAÇÃO DO NOVO 17 novos diretórios 2016 2018 2020 2022 2024 2011 2015 2017 1ª ELEIÇÃO NACIONAL 2ª ELEIÇÃO NACIONAL 1ª ELEIÇÃO MUNICIPAL 2ª ELEIÇÃO MUNICIPAL 3ª ELEIÇÃO MUNICIPAL Coleta de 1 milhão Reelegemos o governador de Minas Gerais e 3 deputados federais, e elegemos 5 deputados estaduais Elegemos o governador de Minas Gerais, 8 deputados federais e 12 estaduais Elegemos prefeito Elegemos 19 prefeitos e 262 vereadores Participamos em 5 capitais e elegemos de assinaturas em Joinville e 28 vereadores 4 vereadores Definição do programa partidário e do estatuto Formação de líderes NOSSOS REPRESENTANTES NOVO NO CONGRESSO NACIONAL DEPUTADOS FEDERAIS ADRIANA VENTURA MARCEL VAN HATTEM GILSON MARQUES LUIZ LIMA 6 DEPUTADOS ESTADUAIS DEPUTADOS ESTADUAIS FELIPE CAMOZZATO LEO SIQUEIRA MATHEUS CADORIN DR.",proposito melhorar de forma duradouro o qualidade de vida de o grande numero de pessoa o mais rapido possivel premissa 1 ninguem melhor de o que voce pra administrar seu proprio vida 2 nada que o estado fornecer e gratuito 3 nao existir salvador de o patria principio e valor ser um instituicao com principio e valor inegociavel 1 livre mercado e direito o propriedade 2 liberdade individual e respeito a o proximo estado levar eficiente e o servico de o pessoa 4 combate a corrupcao e a o privilegio 5 imperio de o lei e democracia 3 oportunidade a o alcance de todo 6 o novo como instituicao socio filiar novo lideranca novo pratica e novo postura diferencial ativo o marca produto o mandato cliente o cidadao brasileiro em o desviar de o nosso principio e valor risco o historia de o novo criacao de registro como partido por o tse fundacao de o novo 17 novo diretorio 2016 2018 2020 2022 2024 2011 2015 2017 eleicao nacional eleicao nacional eleicao municipal eleicao municipal eleicao municipal coletar de 1 milhao reelegemos o governador de mina geral e 3 deputado federal e eleger 5 deputado estadual eleger o governador de mina geral 8 deputado federal e 12 estadual eleger prefeito eleger 19 prefeito e 262 vereador participar em 5 capital e eleger de assinatura em joinville e 28 vereador 4 vereador definicao de o programa partidario e de o estatuto formacao de lider nosso representante novo em o congresso nacional deputado federal adriano ventura marcel van hattem gilson marques luiz lima 6 deputado estadual deputado estadual felipe camozzato leo siqueira matheus cadorin dr,"[""proposito"", ""melhorar"", ""de"", ""forma"", ""duradouro"", ""o"", ""qualidade"", ""de"", ""vida"", ""de o"", ""grande"", ""numero"", ""de"", ""pessoa"", ""o"", ""mais"", ""rapido"", ""possivel"", ""premissa"", ""1"", ""ninguem"", ""melhor"", ""de o"", ""que"", ""voce"", ""pra"", ""administrar"", ""seu"", ""proprio"", ""vida"", ""2"", ""nada"", ""que"", ""o"", ""estado"", ""fornecer"", ""e"", ""gratuito"", ""3"", ""nao"", ""existir"", ""salvador"", ""de o"", ""patria"", ""principio"", ""e"", ""valor"", ""ser"", ""um"", ""instituicao"", ""com"", ""principio"", ""e"", ""valor"", ""inegociavel"", ""1"", ""livre"", ""mercado"", ""e"", ""direito"", ""o"", ""propriedade"", ""2"", ""liberdade"", ""individual"", ""e"", ""respeito"", ""a o"", ""proximo"", ""estado"", ""levar"", ""eficiente"", ""e"", ""o"", ""servico"", ""de o"", ""pessoa"", ""4"", ""combate"", ""a"", ""corrupcao"", ""e"", ""a o"", ""privilegio"", ""5"", ""imperio"", ""de o"", ""lei"", ""e"", ""democracia"", ""3"", ""oportunidade"", ""a o"", ""alcance"", ""de"", ""todo"", ""6"", ""o"", ""novo"", ""como"", ""instituicao"", ""socio"", ""filiar"", ""novo"", ""lideranca"", ""novo"", ""pratica"", ""e"", ""novo"", ""postura"", ""diferencial"", ""ativo"", ""o"", ""marca"", ""produto"", ""o"", ""mandato"", ""cliente"", ""o"", ""cidadao"", ""brasileiro"", ""em o"", ""desviar"", ""de o"", ""nosso"", ""principio"", ""e"", ""valor"", ""risco"", ""o"", ""historia"", ""de o"", ""novo"", ""criacao"", ""de"", ""registro"", ""como"", ""partido"", ""por o"", ""tse"", ""fundacao"", ""de o"", ""novo"", ""17"", ""novo"", ""diretorio"", ""2016"", ""2018"", ""2020"", ""2022"", ""2024"", ""2011"", ""2015"", ""2017"", ""eleicao"", ""nacional"", ""eleicao"", ""nacional"", ""eleicao"", ""municipal"", ""eleicao"", ""municipal"", ""eleicao"", ""municipal"", ""coletar"", ""de"", ""1"", ""milhao"", ""reelegemos"", ""o"", ""governador"", ""de"", ""mina"", ""geral"", ""e"", ""3"", ""deputado"", ""federal"", ""e"", ""eleger"", ""5"", ""deputado"", ""estadual"", ""eleger"", ""o"", ""governador"", ""de"", ""mina"", ""geral"", ""8"", ""deputado"", ""federal"", ""e"", ""12"", ""estadual"", ""eleger"", ""prefeito"", ""eleger"", ""19"", ""prefeito"", ""e"", ""262"", ""vereador"", ""participar"", ""em"", ""5"", ""capital"", ""e"", ""eleger"", ""de"", ""assinatura"", ""em"", ""joinville"", ""e"", ""28"", ""vereador"", ""4"", ""vereador"", ""definicao"", ""de o"", ""programa"", ""partidario"", ""e"", ""de o"", ""estatuto"", ""formacao"", ""de"", ""lider"", ""nosso"", ""representante"", ""novo"", ""em o"", ""congresso"", ""nacional"", ""deputado"", ""federal"", ""adriano"", ""ventura"", ""marcel"", ""van"", ""hattem"", ""gilson"", ""marques"", ""luiz"", ""lima"", ""6"", ""deputado"", ""estadual"", ""deputado"", ""estadual"", ""felipe"", ""camozzato"", ""leo"", ""siqueira"", ""matheus"", ""cadorin"", ""dr""]"
2,"MAURÍCIO ZÉ LAVIOLA EMERSON JARUDE SENADOR CE RICARDO SALLES EDUARDO GIRÃO Reeleito (a) MINAS GERAIS ROMEU ZEMA Gestão reeleita no 1º turno em 2022 80% dos mineiros aprovam o NOVO governo Corte de privilégios, redução de 22 para 12 secretarias, diminuição de cargos comissionados e seleção por critérios técnicos Mais de 1 milhão de empregos gerados em Minas desde o início de mandato Mais de R$ 270 bilhões de investimentos privados atraídos para o estado até aqui Pela primeira vez desde 2012, Minas fechou as contas no azul Minas Gerais se tornou o estado mais seguro do Brasil em 2021 Regularizou o pagamento dos servidores e de dívidas bilionárias deixadas pela gestão anterior 2 4 41 NOSSOS MANDATÁRIOS PELO BRASIL 116 O NOVO DÁ O EXEMPLO E CORTA PRIVILÉGIOS E GASTOS DESNECESSÁRIOS O QUE O NOVO ACREDITA E você não precisa concordar com tudo!",mauricio ze laviola emerson jarude senador ce ricardo salles eduardo girao reeleger a mina geral romeu zema gestao reeleita em o turno em 2022 80 de o mineiro aprovar o novo governo corte de privilegio reducao de 22 para 12 secretaria diminuicao de cargo comissionar e selecao por criterio tecnico mais de 1 milhao de emprego gerar em mina desde o inicio de mandato mais de r 270 bilhoes de investimento privado atrair para o estado ate aqui por o primeira vez desde 2012 mina fechar o conta em o azul mina geral se tornar o estado mais seguro de o brasil em 2021 regularizar o pagamento de o servidor e de divida bilionario deixar por o gestao anterior 2 4 41 nosso mandatario por o brasil 116 o novo de o o exemplo e cortar privilegio e gasto desnecessario o que o novo acreditar e voce nao precisar concordar com tudo,"[""mauricio"", ""ze"", ""laviola"", ""emerson"", ""jarude"", ""senador"", ""ce"", ""ricardo"", ""salles"", ""eduardo"", ""girao"", ""reeleger"", ""a"", ""mina"", ""geral"", ""romeu"", ""zema"", ""gestao"", ""reeleita"", ""em o"", ""turno"", ""em"", ""2022"", ""80"", ""de o"", ""mineiro"", ""aprovar"", ""o"", ""novo"", ""governo"", ""corte"", ""de"", ""privilegio"", ""reducao"", ""de"", ""22"", ""para"", ""12"", ""secretaria"", ""diminuicao"", ""de"", ""cargo"", ""comissionar"", ""e"", ""selecao"", ""por"", ""criterio"", ""tecnico"", ""mais"", ""de"", ""1"", ""milhao"", ""de"", ""emprego"", ""gerar"", ""em"", ""mina"", ""desde"", ""o"", ""inicio"", ""de"", ""mandato"", ""mais"", ""de"", ""r"", ""270"", ""bilhoes"", ""de"", ""investimento"", ""privado"", ""atrair"", ""para"", ""o"", ""estado"", ""ate"", ""aqui"", ""por o"", ""primeira"", ""vez"", ""desde"", ""2012"", ""mina"", ""fechar"", ""o"", ""conta"", ""em o"", ""azul"", ""mina"", ""geral"", ""se"", ""tornar"", ""o"", ""estado"", ""mais"", ""seguro"", ""de o"", ""brasil"", ""em"", ""2021"", ""regularizar"", ""o"", ""pagamento"", ""de o"", ""servidor"", ""e"", ""de"", ""divida"", ""bilionario"", ""deixar"", ""por o"", ""gestao"", ""anterior"", ""2"", ""4"", ""41"", ""nosso"", ""mandatario"", ""por o"", ""brasil"", ""116"", ""o"", ""novo"", ""de o"", ""o"", ""exemplo"", ""e"", ""cortar"", ""privilegio"", ""e"", ""gasto"", ""desnecessario"", ""o"", ""que"", ""o"", ""novo"", ""acreditar"", ""e"", ""voce"", ""nao"", ""precisar"", ""concordar"", ""com"", ""tudo""]"
3,"UM BRASIL SEGURO, SIMPLES E LIVRE, ONDE TODOS POSSAM CHEGAR LÁ Um Brasil com mais oportunidades e conectado ao mundo Liberdade para trabalhar e empreender Priorização da educação básica, desde a creche até o ensino médio Ampla abertura e integração à economia mundial Programas assistenciais como porta de saída da miséria e da pobreza Um Estado simples, leve e eficiente Equilíbrio das contas públicas Foco no essencial: educação, segurança e saúde Mais autonomia para estados e municípios Parcerias, concessões e privatização de todas as estatais Um sistema político verdadeiramente representativo Fim de dinheiro público para políticos e campanhas Voto facultativo e possibilidade de candidatura avulsa Voto distrital Combate incansável à corrupção e à impunidade ESTATÉGIA ELEITORAL NA POLÍTICA TRADICIONAL Pensamento na próxima eleição Quantidade acima de qualidade Busca por poder Puxador de voto NO NOVO Pensamento de longo prazo Qualidade acima de quantidade Consciência das responsabilidades Processo seletivo Vamos trabalhar juntos na construção do Brasil que merecemos?",um brasil seguro simples e livre onde todo poder chegar la um brasil com mais oportunidade e conectar a o mundo liberdade para trabalhar e empreender priorizacao de o educacao basica desde o creche ate o ensino medio amplo abertura e integracao o economia mundial programa assistencial como porta de saida de o miser e de o pobreza um estado simples leve e eficiente equilibrio de o conta publico foco em o essencial educacao seguranca e saude mais autonomia para estado e municipio parceria concessoes e privatizacao de todo o estatal um sistema politico verdadeiramente representativo fim de dinheiro publico para politico e campanha voto facultativo e possibilidade de candidatura avulso voto distrital combate incansavel o corrupcao e o impunidade estateg eleitoral em o politica tradicional pensamento em o proximo eleicao quantidade acima de qualidade buscar por poder puxador de voto em o novo pensamento de longo prazo qualidade acima de quantidade consciencio de o responsabilidade processo seletivo ir trabalhar junto em o construcao de o brasil que merecer,"[""um"", ""brasil"", ""seguro"", ""simples"", ""e"", ""livre"", ""onde"", ""todo"", ""poder"", ""chegar"", ""la"", ""um"", ""brasil"", ""com"", ""mais"", ""oportunidade"", ""e"", ""conectar"", ""a o"", ""mundo"", ""liberdade"", ""para"", ""trabalhar"", ""e"", ""empreender"", ""priorizacao"", ""de o"", ""educacao"", ""basica"", ""desde"", ""o"", ""creche"", ""ate"", ""o"", ""ensino"", ""medio"", ""amplo"", ""abertura"", ""e"", ""integracao"", ""o"", ""economia"", ""mundial"", ""programa"", ""assistencial"", ""como"", ""porta"", ""de"", ""saida"", ""de o"", ""miser"", ""e"", ""de o"", ""pobreza"", ""um"", ""estado"", ""simples"", ""leve"", ""e"", ""eficiente"", ""equilibrio"", ""de o"", ""conta"", ""publico"", ""foco"", ""em o"", ""essencial"", ""educacao"", ""seguranca"", ""e"", ""saude"", ""mais"", ""autonomia"", ""para"", ""estado"", ""e"", ""municipio"", ""parceria"", ""concessoes"", ""e"", ""privatizacao"", ""de"", ""todo"", ""o"", ""estatal"", ""um"", ""sistema"", ""politico"", ""verdadeiramente"", ""representativo"", ""fim"", ""de"", ""dinheiro"", ""publico"", ""para"", ""politico"", ""e"", ""campanha"", ""voto"", ""facultativo"", ""e"", ""possibilidade"", ""de"", ""candidatura"", ""avulso"", ""voto"", ""distrital"", ""combate"", ""incansavel"", ""o"", ""corrupcao"", ""e"", ""o"", ""impunidade"", ""estateg"", ""eleitoral"", ""em o"", ""politica"", ""tradicional"", ""pensamento"", ""em o"", ""proximo"", ""eleicao"", ""quantidade"", ""acima"", ""de"", ""qualidade"", ""buscar"", ""por"", ""poder"", ""puxador"", ""de"", ""voto"", ""em o"", ""novo"", ""pensamento"", ""de"", ""longo"", ""prazo"", ""qualidade"", ""acima"", ""de"", ""quantidade"", ""consciencio"", ""de o"", ""responsabilidade"", ""processo"", ""seletivo"", ""ir"", ""trabalhar"", ""junto"", ""em o"", ""construcao"", ""de o"", ""brasil"", ""que"", ""merecer""]"
4,CONVIDE SEUS AMIGOS PARA SE FILIAREM AO NOVO! novo.org.br/filie COMO AJUDAR O NOVO Filie-se Doe novo.org.br/filie novo.org.br/doe Participe e organize eventos novo.org.br/eventos /novo30 @partidonovo30 /partidonovo30 Acompanhe e divulgue o NOVO #UseNOVO loja.novo.org.br Participe do diretório local novo.org.br/diretorios Não existe salvador da pátria. PRECISAMOS SAIR DA INDIGNAÇÃO PARA A AÇÃO OBRIGADO!,convidar seu amigo para se filiar a o novo novo org br filie como ajudar o novo filie se doe novo org br filie novo org br doe participar e organizar evento novo org br evento acompanhar e divulguar o novo usenovo loja novo org br participe de o diretorio local novo org br diretorios nao existir salvador de o patria precisar sair de o indignacao para o acao obrigar,"[""convidar"", ""seu"", ""amigo"", ""para"", ""se"", ""filiar"", ""a o"", ""novo"", ""novo"", ""org"", ""br"", ""filie"", ""como"", ""ajudar"", ""o"", ""novo"", ""filie"", ""se"", ""doe"", ""novo"", ""org"", ""br"", ""filie"", ""novo"", ""org"", ""br"", ""doe"", ""participar"", ""e"", ""organizar"", ""evento"", ""novo"", ""org"", ""br"", ""evento"", ""acompanhar"", ""e"", ""divulguar"", ""o"", ""novo"", ""usenovo"", ""loja"", ""novo"", ""org"", ""br"", ""participe"", ""de o"", ""diretorio"", ""local"", ""novo"", ""org"", ""br"", ""diretorios"", ""nao"", ""existir"", ""salvador"", ""de o"", ""patria"", ""precisar"", ""sair"", ""de o"", ""indignacao"", ""para"", ""o"", ""acao"", ""obrigar""]"
