topic,terms
0,"0.020*""da"" + 0.018*""de"" + 0.017*""a"" + 0.017*""e"" + 0.017*""do"" + 0.014*""que"" + 0.012*""as"" + 0.009*""dos"" + 0.007*""no"" + 0.007*""um"""
1,"0.045*""e"" + 0.035*""a"" + 0.034*""de"" + 0.024*""o"" + 0.017*""da"" + 0.014*""as"" + 0.013*""uma"" + 0.012*""do"" + 0.011*""um"" + 0.010*""que"""
2,"0.018*""e"" + 0.010*""a"" + 0.005*""direito"" + 0.005*""violencia"" + 0.004*""pelo"" + 0.004*""com"" + 0.003*""classes"" + 0.003*""em"" + 0.003*""negro"" + 0.003*""populacoes"""
3,"0.008*""os"" + 0.007*""e"" + 0.007*""o"" + 0.006*""para"" + 0.005*""ricos"" + 0.005*""demais"" + 0.005*""principais"" + 0.005*""nas"" + 0.005*""seus"" + 0.005*""isso"""
4,"0.051*""e"" + 0.045*""de"" + 0.040*""a"" + 0.023*""do"" + 0.020*""da"" + 0.019*""com"" + 0.018*""o"" + 0.014*""um"" + 0.011*""que"" + 0.010*""para"""
5,"0.021*""de"" + 0.013*""em"" + 0.009*""e"" + 0.009*""da"" + 0.007*""uma"" + 0.007*""as"" + 0.006*""a"" + 0.006*""para"" + 0.006*""na"" + 0.006*""que"""
6,"0.050*""e"" + 0.046*""de"" + 0.039*""a"" + 0.024*""do"" + 0.022*""o"" + 0.021*""da"" + 0.014*""que"" + 0.011*""dos"" + 0.009*""as"" + 0.009*""das"""
