topic,terms
0,"0.010*""todo"" + 0.010*""brasil"" + 0.008*""parlamentar"" + 0.008*""sr_presidente"" + 0.007*""povo"" + 0.006*""país"" + 0.006*""casa"" + 0.005*""brasileiro"" + 0.005*""ver"" + 0.005*""pessoa"""
1,"0.012*""todo"" + 0.011*""projeto"" + 0.005*""brasil"" + 0.005*""sr_presidente"" + 0.005*""lei"" + 0.005*""policial"" + 0.005*""hoje"" + 0.004*""votar"" + 0.004*""então"" + 0.004*""ano"""
2,"0.006*""constituição"" + 0.006*""país"" + 0.005*""art"" + 0.005*""brasileiro"" + 0.005*""eleição"" + 0.005*""pessoa"" + 0.004*""ministro"" + 0.004*""todo"" + 0.004*""casa"" + 0.004*""parlamentar"""
3,"0.007*""dever"" + 0.007*""brasil"" + 0.006*""defender"" + 0.006*""direito"" + 0.006*""constituição"" + 0.005*""voto"" + 0.005*""pessoa"" + 0.005*""respeitar"" + 0.005*""todo"" + 0.005*""outro"""
4,"0.010*""todo"" + 0.009*""brasil"" + 0.008*""brasileiro"" + 0.007*""pessoa"" + 0.006*""povo"" + 0.006*""urna"" + 0.005*""ano"" + 0.005*""sr_presidente"" + 0.005*""casa"" + 0.005*""hoje"""
5,"0.016*""pec"" + 0.008*""real"" + 0.008*""país"" + 0.008*""todo"" + 0.008*""ano"" + 0.007*""bilhão"" + 0.007*""brasil"" + 0.006*""votar"" + 0.006*""governo"" + 0.006*""brasileiro"""
