topic,terms
0,"0.009*""todo"" + 0.007*""pl"" + 0.007*""sr_presidente"" + 0.005*""ano"" + 0.005*""pessoa"" + 0.005*""país"" + 0.005*""brasil"" + 0.004*""mulher"" + 0.004*""sobre"" + 0.004*""pt"""
1,"0.008*""todo"" + 0.007*""sim"" + 0.006*""brasil"" + 0.004*""grande"" + 0.004*""pessoa"" + 0.004*""país"" + 0.004*""milhão"" + 0.004*""ano"" + 0.004*""hoje"" + 0.003*""dar"""
2,"0.011*""governo"" + 0.011*""todo"" + 0.011*""brasil"" + 0.010*""brasileiro"" + 0.010*""povo"" + 0.010*""país"" + 0.008*""votar"" + 0.007*""dar"" + 0.006*""pl"" + 0.006*""sim"""
3,"0.006*""todo"" + 0.006*""grande"" + 0.005*""mulher"" + 0.005*""pl"" + 0.004*""outro"" + 0.004*""público"" + 0.004*""sr_presidente"" + 0.004*""sociedade"" + 0.004*""família"" + 0.004*""país"""
4,"0.007*""lei"" + 0.006*""pl"" + 0.006*""caso"" + 0.005*""todo"" + 0.004*""ano"" + 0.004*""temporário"" + 0.004*""saúde"" + 0.004*""condenar"" + 0.004*""hoje"" + 0.004*""federação"""
5,"0.007*""brasil"" + 0.007*""pessoa"" + 0.006*""ano"" + 0.005*""saúde"" + 0.005*""todo"" + 0.005*""projeto"" + 0.004*""pl"" + 0.004*""primeiro"" + 0.004*""voto"" + 0.004*""brasileiro"""
6,"0.008*""todo"" + 0.007*""projeto"" + 0.006*""público"" + 0.006*""hoje"" + 0.006*""brasileiro"" + 0.006*""pl"" + 0.005*""brasil"" + 0.005*""emenda"" + 0.004*""medida"" + 0.004*""ano"""
